kappa0,p,a23_r,a23_i,a13,eps_cp,cabibbo,beta_mass,mass_amp,K1_오,K2_미,K3_신,K4_유,K5_술,K6_해,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.42,1.0,0.42,0.16,0.28,0.015,0.23,4,3.1499999999999995,0.06999999999999999,0.13999999999999999,0.21,0.27999999999999997,0.35,0.42,0.0018363047770289089,1.0000000000000009,544.5719101259286,544.5719101259289,544.5719101259282,296558.5652982024,5.472110471980972
0.42,1.25,0.42,0.16,0.28,0.015,0.23,4,3.044935524083657,0.044726017297239073,0.10637699599122294,0.17658824720328004,0.2530085610107565,0.33440497727152835,0.42,0.0022657010622817407,0.9999999999999912,441.364492715964,441.36449271595956,441.36449271596786,194802.61543042,5.289594783442874
0.42,1.5,0.42,0.16,0.28,0.015,0.23,4,2.9495731445125104,0.028577380332470412,0.08082903768654759,0.14849242404917498,0.2286190426597633,0.31950482521134693,0.42,0.002741784511444058,0.9999999999999993,364.72596435863426,364.7259643586337,364.7259643586345,133025.02907733564,5.123933362527224
0.42,1.75,0.42,0.16,0.28,0.015,0.23,4,2.862804586714259,0.018259320100855018,0.061416787271116303,0.12486674707528571,0.20658062501072666,0.30526858232269743,0.42,0.0032613659332522025,0.999999999999989,306.619993115219,306.6199931152156,306.61999311522237,94015.82017797694,4.973200939109288
0.42,2.0,0.42,0.16,0.28,0.015,0.23,4,2.783666666666667,0.011666666666666665,0.04666666666666666,0.105,0.18666666666666665,0.2916666666666667,0.42,0.003820655274171519,0.9999999999999922,261.7352072457892,261.73520724578714,261.73520724579123,68505.31871199621,4.835724291165408
0.42,2.25,0.42,0.16,0.28,0.015,0.23,4,2.7113207399129964,0.00745433621620651,0.03545899866374098,0.08829412360164002,0.168672374007171,0.27867081439294034,0.42,0.004415467860705492,0.9999999999999967,226.4765663678102,226.47656636780937,226.47656636781096,51291.63511375312,4.710046544056224
0.42,2.5,0.42,0.16,0.28,0.015,0.23,4,2.6450351973933675,0.004762896722078401,0.026943012562182532,0.07424621202458749,0.15241269510650884,0.2662540210094558,0.42,0.005041405358544474,0.9999999999999969,198.35738824396276,198.35738824396205,198.35738824396338,39345.65347096616,4.594896762671271
0.42,2.75,0.42,0.16,0.28,0.015,0.23,4,2.584170543872637,0.003043220016809169,0.020472262423705433,0.062433373537642854,0.13772041667381776,0.25439048526891456,0.42,0.005694006846361629,0.9999999999999964,175.62325212850456,175.62325212850402,175.6232521285052,30843.526688192298,4.489164030003245
0.42,3.0,0.42,0.16,0.28,0.015,0.23,4,2.528166666666667,0.001944444444444444,0.015555555555555552,0.0525,0.12444444444444441,0.2430555555555556,0.42,0.006368869272900872,0.9999999999999893,157.01374249506674,157.013742495065,157.0137424950684,24653.315332307116,4.391875330660285
0.42,3.25,0.42,0.16,0.28,0.015,0.23,4,2.476531963032053,0.0012423893693677517,0.011819666221246992,0.04414706180082001,0.112448249338114,0.2322256786607836,0.42,0.007061739102137802,0.999999999999998,141.60817690039974,141.60817690039949,141.60817690040003,20052.87576505491,4.302176663207394
0.42,3.5,0.42,0.16,0.28,0.015,0.23,4,2.4288340457630637,0.0007938161203464001,0.008981004187394177,0.037123106012293745,0.10160846340433921,0.22187835084121313,0.42,0.007768578399368068,0.9999999999999991,128.72368000834553,128.72368000834538,128.72368000834564,16569.78579489093,4.219316894134595
0.42,3.75,0.42,0.16,0.28,0.015,0.23,4,2.384691789726602,0.0005072033361348615,0.006824087474568478,0.031216686768821427,0.0918136111158785,0.21199207105742882,0.42,0.008485609252022828,0.999999999999998,117.84657651560117,117.84657651560077,117.84657651560141,13887.815596447423,4.1426339412730115
0.42,4.0,0.42,0.16,0.28,0.015,0.23,4,2.3437685185185186,0.000324074074074074,0.005185185185185184,0.02625,0.08296296296296295,0.20254629629629634,0.42,0.009209340510966052,1.0000000000000069,108.58540834810563,108.58540834810631,108.58540834810488,11790.790906124841,4.071542937804608
0.42,0.0,0.42,0.16,0.28,0.015,0.23,2,1.8479999999999999,0.42,0.42,0.42,0.42,0.42,0.42,0.02482261862841406,1.0000000000000029,40.285838290055196,40.28583829005529,40.28583829005508,1622.9487667324763,3.2103048102288376
0.42,0.25,0.42,0.16,0.28,0.015,0.23,2,1.7686013513675025,0.2683561037834344,0.31913098797366884,0.35317649440656007,0.3795128415161348,0.40128597272583405,0.42,0.029094599601394752,0.9999999999999998,34.370639696036996,34.37063969603697,34.370639696037,1181.3408731147933,3.0723752303421623
0.42,0.5,0.42,0.16,0.28,0.015,0.23,2,1.6972714613617925,0.17146428199482247,0.2424871130596428,0.29698484809834996,0.34292856398964494,0.38340579025361626,0.42,0.03355588830147315,1.0,29.801028988289325,29.801028988289325,29.801028988289325,888.1013287608606,2.9484625198451795
0.42,0.75,0.42,0.16,0.28,0.015,0.23,2,1.6330220423448996,0.10955592060513011,0.18425036181334892,0.24973349415057142,0.30987093751609,0.36632229878723693,0.42,0.0381570750608026,1.000000000000002,26.20745951849081,26.20745951849088,26.207459518490758,686.8309344133351,2.8368498472670733
0.42,1.0,0.42,0.16,0.28,0.015,0.23,2,1.5749999999999997,0.06999999999999999,0.13999999999999999,0.21,0.27999999999999997,0.35,0.42,0.04285212686704021,0.9999999999999996,23.336064580942704,23.33606458094269,23.336064580942715,544.5719101259284,2.736055235990486
0.42,1.25,0.42,0.16,0.28,0.015,0.23,2,1.5224677620418285,0.044726017297239073,0.10637699599122294,0.17658824720328004,0.2530085610107565,0.33440497727152835,0.42,0.047599380902294736,1.0000000000000013,21.008676605535243,21.00867660553526,21.008676605535214,441.36449271596365,2.644797391721437
0.42,1.5,0.42,0.16,0.28,0.015,0.23,2,1.4747865722562552,0.028577380332470412,0.08082903768654759,0.14849242404917498,0.2286190426597633,0.31950482521134693,0.42,0.05236205220810257,0.9999999999999989,19.097799987397345,19.097799987397316,19.097799987397366,364.7259643586339,2.561966681263612
0.42,1.75,0.42,0.16,0.28,0.015,0.23,2,1.4314022933571295,0.018259320100855018,0.061416787271116303,0.12486674707528571,0.20658062501072666,0.30526858232269743,0.42,0.057108370080507495,0.9999999999999993,17.510568040906584,17.510568040906566,17.510568040906595,306.61999311521896,2.486600469554644
