we,wnu,ae,anu,theta12,theta23,theta13,J,absJ,unitarity_defect,gap_e,gap_nu,loss
-6,12,-0.1,-0.08,39.83683191077543,58.68700874599258,9.643882089918709,-0.03154819967919531,0.03154819967919531,1.4146858733447056e-15,3.0426526836490146,1.0719850965045037,21.391622857537715
6,-12,-0.1,-0.08,39.83683191077543,58.68700874599258,9.643882089918709,0.03154819967919531,0.03154819967919531,1.4146858733447056e-15,3.0426526836490146,1.0719850965045037,21.391622857537715
-12,10,-0.04000000000000001,0.0,27.441405829623832,47.535501181808044,5.8866724179193435,-0.020124284687149222,0.020124284687149222,1.1654966597552402e-15,1.0351594259879517,1.0760126198664983,22.14517407628808
12,-10,-0.04000000000000001,0.0,27.441405829623832,47.535501181808044,5.8866724179193435,0.020124284687149222,0.020124284687149222,1.1654966597552402e-15,1.0351594259879517,1.0760126198664983,22.14517407628808
10,-8,-0.1,-0.060000000000000005,38.16329585718533,46.05324329657368,5.0700491525743026,-0.02122437696222533,0.02122437696222533,1.1399563769174297e-15,1.0635732977383383,1.1787129439576514,23.571829808283983
-10,8,-0.1,-0.060000000000000005,38.16329585718533,46.05324329657368,5.0700491525743026,0.02122437696222533,0.02122437696222533,1.1399563769174297e-15,1.0635732977383383,1.1787129439576514,23.571829808283983
10,-12,-0.08,-0.060000000000000005,34.21905784833079,43.62046751308747,12.113394188090265,-0.04586224008534759,0.04586224008534759,1.7405423874531531e-15,1.0647288003033644,1.0540945295266684,23.852863470363122
-10,12,-0.08,-0.060000000000000005,34.21905784833079,43.62046751308747,12.113394188090265,0.04586224008534759,0.04586224008534759,1.7405423874531531e-15,1.0647288003033644,1.0540945295266684,23.852863470363122
8,6,0.0,0.0,33.729067160245314,53.70479468813033,11.570409154772218,-0.014247717232216343,0.014247717232216343,1.3515800480828348e-15,1.1772209291938167,3.028185228836953,23.88388403298555
-8,-6,0.0,0.0,33.729067160245314,53.70479468813033,11.570409154772218,0.014247717232216343,0.014247717232216343,1.3515800480828348e-15,1.1772209291938167,3.028185228836953,23.88388403298555
