scale,i13,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.01,-0.008,-0.024,0.05350000000000001,0.07750000000000001,34.88136901179472,47.853899821081924,8.773765764452298,-0.03320642639390071,0.03320642639390071,5.818387701981904e-16,0.0,3.233341184754995
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.012,-0.008,-0.024,0.05350000000000001,0.07750000000000001,34.88136901179473,47.85389982108193,8.773765764452298,-0.0332064263939007,0.0332064263939007,4.325831344626427e-16,0.0,3.233341184755027
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.014,-0.01,-0.024,0.05350000000000001,0.07750000000000001,34.804001331042315,47.444810701747755,8.597703094331889,-0.031844567202034074,0.031844567202034074,3.0567580041305525e-16,0.0,3.2360015459248443
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.016,-0.01,-0.024,0.05350000000000001,0.07750000000000001,34.80400133104231,47.44481070174774,8.597703094331887,-0.03184456720203406,0.03184456720203406,3.786945450939775e-16,0.0,3.236001545924846
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.012,-0.01,-0.024,0.05350000000000001,0.07750000000000001,34.804001331042315,47.44481070174774,8.597703094331887,-0.031844567202034046,0.031844567202034046,5.769931238859251e-16,0.0,3.236001545924866
2.8,-0.35,0.055,0.145,0.09,-0.006,-0.016,-0.01,-0.024,0.061000000000000006,0.085,34.42054819480228,48.1280094614232,8.039999357380589,-0.031484693236235844,0.031484693236235844,4.270948559933359e-16,0.0,3.2444397647842074
2.8,-0.35,0.055,0.145,0.09,-0.004,-0.014,-0.01,-0.024,0.061000000000000006,0.085,34.42054819480228,48.1280094614232,8.039999357380585,-0.03148469323623586,0.03148469323623586,4.197748551395997e-16,0.0,3.24443976478423
2.8,-0.35,0.055,0.145,0.09,-0.002,-0.012,-0.01,-0.024,0.061000000000000006,0.085,34.42054819480228,48.12800946142319,8.039999357380585,-0.03148469323623586,0.03148469323623586,3.195477654391797e-16,0.0,3.244439764784237
2.5,-0.4,0.066,0.156,0.09,-0.002,-0.01,-0.008,-0.024,0.061000000000000006,0.085,34.19349651590792,47.25294378276788,8.174356441875215,-0.030951985327611654,0.030951985327611654,4.1681221512648853e-16,0.0,3.2996406230612942
2.5,-0.4,0.066,0.156,0.09,-0.006,-0.014,-0.008,-0.024,0.061000000000000006,0.085,34.19349651590792,47.25294378276788,8.174356441875215,-0.030951985327611634,0.030951985327611634,3.8195640840297753e-16,0.0,3.299640623061297
2.5,-0.4,0.066,0.156,0.09,-0.004,-0.012,-0.008,-0.024,0.061000000000000006,0.085,34.19349651590792,47.25294378276788,8.174356441875213,-0.030951985327611682,0.030951985327611682,6.178002794269493e-16,0.0,3.2996406230612996
2.8,-0.4,0.055,0.145,0.09,-0.006,-0.016,-0.01,-0.024,0.05350000000000001,0.07750000000000001,34.84805479185435,47.85566285522513,8.826099933082421,-0.033331993947643634,0.033331993947643634,3.5510598855659177e-16,0.0,3.3066449635719657
2.8,-0.4,0.055,0.145,0.09,-0.002,-0.012,-0.01,-0.024,0.05350000000000001,0.07750000000000001,34.84805479185436,47.85566285522513,8.826099933082423,-0.03333199394764362,0.03333199394764362,5.176805499161465e-16,0.0,3.306644963571989
2.8,-0.4,0.055,0.145,0.09,-0.004,-0.014,-0.01,-0.024,0.05350000000000001,0.07750000000000001,34.848054791854366,47.85566285522513,8.826099933082423,-0.03333199394764365,0.03333199394764365,2.6079766044244047e-16,0.0,3.3066449635720137
2.65,-0.4,0.055,0.155,0.1,-0.002,-0.01,-0.008,-0.024,0.05350000000000001,0.07750000000000001,34.83417789848335,47.44062062733096,8.550167633092613,-0.03173558198902441,0.03173558198902441,4.1274025986342454e-16,0.0,3.326300430581125
2.65,-0.4,0.055,0.155,0.1,-0.006,-0.014,-0.008,-0.024,0.05350000000000001,0.07750000000000001,34.834177898483354,47.44062062733096,8.550167633092617,-0.03173558198902442,0.03173558198902442,4.30442190289391e-16,0.0,3.326300430581143
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.012,-0.008,-0.024,0.05350000000000001,0.07750000000000001,34.834177898483354,47.44062062733096,8.550167633092617,-0.031735581989024424,0.031735581989024424,3.6148906861297195e-16,0.0,3.326300430581143
2.65,-0.4,0.055,0.155,0.1,-0.004,-0.016,-0.012,-0.024,0.046000000000000006,0.07,34.530393620516996,47.05945271463441,8.509900044093788,-0.030558858548169004,0.030558858548169004,5.349758950336168e-16,0.0,3.377757789082988
