p,beta_mass,mass_amp,score,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
1.3,3.1500000000000004,2.3822856364142297,0.861545975151695,0.008526543019565362,0.9999999999999971,117.28082503135892,117.28082503135857,117.28082503135926,13754.791920036225,4.138454024848305
1.3,3.2,2.4200996941350903,0.7958562287255315,0.007905477634928592,0.9999999999999982,126.49457074949177,126.4945707494916,126.494570749492,16000.876429098185,4.2041437712744685
1.3,3.25,2.457913751855951,0.7301664822993681,0.007329650069547402,1.0000000000000007,136.43216122345527,136.43216122345518,136.43216122345518,18613.73461610287,4.269833517700632
1.3,3.3,2.4957278095768114,0.6644767358732047,0.006795765243158705,0.9999999999999996,147.15046271009737,147.1504627100972,147.15046271009743,21653.25867579574,4.335523264126795
1.3,3.35,2.5335418672976724,0.5987869894470412,0.00630076808605074,0.9999999999999953,158.71080895897404,158.71080895897336,158.71080895897478,25189.120880411967,4.401213010552959
1.3,3.4000000000000004,2.5713559250185334,0.5330972430208769,0.005841826056919958,1.0000000000000095,171.179352184827,171.1793521848285,171.17935218482535,29302.370614417014,4.466902756979123
1.3,3.45,2.6091699827393944,0.4674074965947135,0.00541631293411077,1.0000000000000007,184.62744161294978,184.62744161294972,184.62744161294967,34087.29219654315,4.5325925034052865
1.3,3.5,2.646984040460255,0.40171775016855005,0.005021793787486196,1.0000000000000018,199.13203176360994,199.13203176361023,199.1320317636096,39653.56607430335,4.59828224983145
1.3,3.55,2.6847980981811155,0.3360280037423866,0.004656011044933324,1.000000000000016,214.77612281186518,214.77612281186853,214.77612281186174,46128.782930097375,4.663971996257613
1.3,3.6,2.7226121559019765,0.2703382573162223,0.004316871573771422,0.9999999999999956,231.6492355426625,231.64923554266142,231.64923554266352,53661.36832749992,4.729661742683778
1.3,3.6500000000000004,2.7604262136228375,0.20464851089005887,0.004002434703138172,0.9999999999999998,249.84792361907478,249.84792361907466,249.84792361907483,62423.98493676301,4.795351489109941
1.3,3.7,2.798240271343698,0.13895876446389543,0.003710901118814008,1.0000000000000155,269.4763260950476,269.4763260950516,269.4763260950434,72617.4903256844,4.861041235536105
1.3,3.75,2.8360543290645586,0.07326901803773289,0.0034406025669370325,0.999999999999976,290.6467633343196,290.6467633343126,290.6467633343266,84475.54103671596,4.926730981962267
1.3,3.8,2.8738683867854196,0.007579271611568572,0.0031899923076896732,1.0000000000000098,313.48037974556814,313.4803797455712,313.4803797455651,98269.94848542562,4.992420728388431
1.3,3.85,2.9116824445062806,0.05811047481459486,0.002957636264329836,1.0000000000000033,338.1078370117253,338.10783701172636,338.10783701172414,114316.90944874736,5.058110474814595
1.3,3.9000000000000004,2.9494965022271415,0.12380022124075918,0.0027422048169182998,1.000000000000012,364.67006178036115,364.6700617803654,364.6700617803568,132984.25395889237,5.123800221240759
1.3,3.95,2.987310559948002,0.1894899676669226,0.002542465193783321,0.9999999999999809,393.3190520936683,393.3190520936606,393.3190520936758,154699.87673986168,5.189489967666923
1.3,4.0,3.0251246176688626,0.25517971409308604,0.0023572744171837874,0.999999999999988,424.21874717271595,424.21874717271066,424.218747172721,179961.54545278862,5.255179714093086
1.3,4.050000000000001,3.062938675389724,0.32086946051925036,0.002185572762803659,1.000000000000038,457.5459655331707,457.5459655331882,457.5459655331533,209348.3105756815,5.32086946051925
1.3,4.1,3.1007527331105837,0.386559206945412,0.0020263776956507035,1.000000000000019,493.49141680069863,493.4914168007078,493.4914168006892,243533.7784559607,5.386559206945412
1.3,4.15,3.138566790831445,0.45224895337157633,0.0018787782476586078,0.9999999999999998,532.2607930160101,532.2607930160098,532.2607930160102,283301.55178203183,5.452248953371576
