beta_u,beta_d,theta12,theta23,theta13,J,absJ,Hu,Hd,L12,L23,L13,LJ,LOSS
3.0,3.25,0.0,1.7548268512168622e-14,0.0,0.0,0.0,3.7964608868499763,4.112832627420809,170.0416,5.664399999999915,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,3.3000000000000003,0.0,4.577527011691248e-15,0.0,0.0,0.0,3.7964608868499763,4.1761069755349745,170.0416,5.664399999999978,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.35,0.0,7.093481894532062e-15,0.0,0.0,0.0,3.7964608868499763,4.239381323649141,170.0416,5.664399999999966,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.4000000000000004,0.0,1.1444442303288387e-14,0.0,-0.0,0.0,3.7964608868499763,4.302655671763308,170.0416,5.664399999999945,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.45,0.0,1.639220362465852e-15,0.0,0.0,0.0,3.7964608868499763,4.3659300198774735,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.5,0.0,7.92403503561869e-15,0.0,0.0,0.0,3.7964608868499763,4.429204367991639,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.5500000000000003,0.0,2.6043738813069426e-14,0.0,0.0,0.0,3.7964608868499763,4.492478716105806,170.0416,5.664399999999874,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,3.6,0.0,6.2242848715669485e-15,0.0,0.0,0.0,3.7964608868499763,4.555753064219973,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.6500000000000004,0.0,1.554695128727492e-14,0.0,0.0,0.0,3.7964608868499763,4.619027412334138,170.0416,5.664399999999926,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,3.7,0.0,1.023544198536476e-14,0.0,0.0,0.0,3.7964608868499763,4.682301760448304,170.0416,5.664399999999951,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.75,0.0,2.3907072981507434e-14,0.0,0.0,0.0,3.7964608868499763,4.745576108562471,170.0416,5.664399999999885,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,3.8000000000000003,0.0,1.6392203624658516e-15,0.0,0.0,0.0,3.7964608868499763,4.8088504566766375,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.0,3.85,0.0,1.57772314094856e-14,0.0,-0.0,0.0,3.7964608868499763,4.872124804790803,170.0416,5.664399999999923,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,3.9000000000000004,0.0,2.337075593237672e-14,0.0,0.0,0.0,3.7964608868499763,4.93539915290497,170.0416,5.664399999999888,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,3.95,0.0,3.1634025290385797e-14,0.0,0.0,0.0,3.7964608868499763,4.9986735010191365,170.0416,5.6643999999998496,0.040401000000000006,649.0837074276884,824.8301084276883
3.0,4.0,0.0,3.149746372268944e-14,0.0,0.0,0.0,3.7964608868499763,5.061947849133302,170.0416,5.6643999999998496,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,1.0,0.0,8.3099706823298355e-16,0.0,0.0,0.0,3.859735234964142,1.2654869622833256,170.0416,5.664399999999995,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.05,0.0,2.3854160110976368e-15,0.0,0.0,0.0,3.859735234964142,1.328761310397492,170.0416,5.664399999999989,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.1,0.0,1.8753308034000693e-15,0.0,-0.0,0.0,3.859735234964142,1.3920356585116584,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.15,0.0,1.4406060774991798e-14,0.0,-0.0,0.0,3.859735234964142,1.4553100066258247,170.0416,5.664399999999932,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.2,0.0,0.0,0.0,0.0,0.0,3.859735234964142,1.5185843547399906,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.25,0.0,8.196101812329256e-16,0.0,0.0,0.0,3.859735234964142,1.581858702854157,170.0416,5.664399999999995,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.3,0.0,4.497983566394944e-15,0.0,-0.0,0.0,3.859735234964142,1.6451330509683235,170.0416,5.664399999999978,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.35,0.0,1.6392203624658512e-15,0.0,0.0,0.0,3.859735234964142,1.7084073990824897,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.4,0.0,6.361109362927032e-15,0.0,0.0,0.0,3.859735234964142,1.771681747196656,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.45,0.0,1.590277340731758e-15,0.0,0.0,0.0,3.859735234964142,1.8349560953108224,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.5,0.0,2.7829853462805764e-15,0.0,0.0,0.0,3.859735234964142,1.8982304434249886,170.0416,5.664399999999987,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.55,0.0,2.8669132471084356e-15,0.0,-0.0,0.0,3.859735234964142,1.9615047915391548,170.0416,5.664399999999987,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.6,0.0,3.553527605358575e-15,0.0,-0.0,0.0,3.859735234964142,2.024779139653321,170.0416,5.664399999999983,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.65,0.0,4.7708320221952736e-15,0.0,0.0,0.0,3.859735234964142,2.0880534877674872,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.7000000000000002,0.0,4.852952201020825e-15,0.0,-0.0,0.0,3.859735234964142,2.151327835881654,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.75,0.0,6.556881449863405e-15,0.0,-0.0,0.0,3.859735234964142,2.21460218399582,170.0416,5.664399999999968,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.8,0.0,1.3972615031844912e-14,0.0,-0.0,0.0,3.859735234964142,2.2778765321099863,170.0416,5.664399999999934,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.85,0.0,1.1514824810967473e-16,0.0,0.0,0.0,3.859735234964142,2.3411508802241525,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.9,0.0,1.2722218725854064e-14,0.0,0.0,0.0,3.859735234964142,2.4044252283383187,170.0416,5.664399999999938,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,1.9500000000000002,0.0,3.555968236953806e-15,0.0,0.0,0.0,3.859735234964142,2.467699576452485,170.0416,5.664399999999983,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.0,0.0,0.0,0.0,0.0,0.0,3.859735234964142,2.530973924566651,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.05,0.0,9.66849747822496e-15,0.0,0.0,0.0,3.859735234964142,2.5942482726808174,170.0416,5.664399999999953,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.1,0.0,0.0,0.0,-0.0,0.0,3.859735234964142,2.6575226207949836,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.1500000000000004,0.0,0.0,0.0,0.0,0.0,3.859735234964142,2.7207969689091507,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.2,0.0,0.0,0.0,0.0,0.0,3.859735234964142,2.784071317023317,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.25,0.0,5.091371692339889e-15,0.0,0.0,0.0,3.859735234964142,2.8473456651374827,170.0416,5.664399999999977,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.3,0.0,6.361109362927032e-15,0.0,-0.0,0.0,3.859735234964142,2.9106200132516484,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.35,0.0,1.590277340731758e-15,0.0,0.0,0.0,3.859735234964142,2.973894361365815,170.0416,5.664399999999991,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.4000000000000004,0.0,1.0336802714756426e-14,0.0,0.0,0.0,3.859735234964142,3.037168709479982,170.0416,5.664399999999951,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.45,0.0,1.3587335555305743e-14,0.0,0.0,0.0,3.859735234964142,3.100443057594148,170.0416,5.664399999999934,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.5,0.0,0.0,0.0,-0.0,0.0,3.859735234964142,3.1637174057083137,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.55,0.0,1.1467652988433742e-14,0.0,-0.0,0.0,3.859735234964142,3.2269917538224804,170.0416,5.664399999999945,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.6,0.0,6.410612906129114e-15,0.0,0.0,0.0,3.859735234964142,3.2902661019366466,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.6500000000000004,0.0,0.0,0.0,-0.0,0.0,3.859735234964142,3.3535404500508132,170.0416,5.6644,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.7,0.0,6.4447415061450565e-15,0.0,0.0,0.0,3.859735234964142,3.4168147981649795,170.0416,5.664399999999968,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.75,0.0,3.180554681463516e-15,0.0,0.0,0.0,3.859735234964142,3.4800891462791452,170.0416,5.664399999999985,0.040401000000000006,649.0837074276884,824.8301084276884
3.05,2.8,0.0,1.6904880014666494e-14,0.0,-0.0,0.0,3.859735234964142,3.543363494393312,170.0416,5.664399999999919,0.040401000000000006,649.0837074276884,824.8301084276883
3.05,2.85,0.0,1.2722218725854064e-14,0.0,0.0,0.0,3.859735234964142,3.6066378425074777,170.0416,5.664399999999938,0.040401000000000006,649.0837074276884,824.8301084276884
