w_ckm,w_pmns,spread,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,Jckm,Jpmns,score_ckm,score_pmns,score
0.5,2.5,0.8421052631578947,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.20727501836387774,0.456011269784646,0.3036493280166688,-0.008658598943334947,0.001109846630155249,0.14178311906664604,0.740363039868145,0.882146158934791
0.5,3.5,0.7473684210526316,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.25790816352735213,0.3700903205160899,0.27010495988550326,-0.008658598943334947,0.0005511042854861962,0.14178311906664604,0.7421064758420612,0.8838895949087073
0.25,2.5,0.9842105263157894,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.20019625140376124,0.488033746990659,0.3231715492687795,-0.007477649339246589,0.003033068425350981,0.14984895620546532,0.7349415508743593,0.8847905070798247
0.0,2.5,1.0315789473684212,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.20022216730714018,0.49811881659783463,0.3288487484513788,-0.006158559966820482,0.0032608764645686546,0.15492659023205516,0.730507764546404,0.8854343547784591
0.25,2.5,0.7473684210526316,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.21908880462913086,0.4337009340403137,0.28850334301533936,-0.007477649339246589,-0.0016044650391754448,0.14984895620546532,0.7357136043458948,0.8855625605513602
0.0,2.5,0.7,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.22723899552992746,0.4224401116025801,0.28032384030298196,-0.006158559966820482,-0.003488091146224565,0.15492659023205516,0.7306447331704744,0.8855713234025295
0.25,3.5,0.7,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2570701203523371,0.3732411299037577,0.26644144673608655,-0.007477649339246589,0.000647371507294836,0.14984895620546532,0.7361301964799918,0.8859791526854571
0.25,2.5,0.9368421052631579,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.20126537612879905,0.47762429805744816,0.3170874627131061,-0.007477649339246589,0.002626355564929414,0.14984895620546532,0.738197788526859,0.8880467447323244
0.25,2.5,0.7947368421052632,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2124301942648149,0.44491325077692595,0.2962862991341705,-0.007477649339246589,-8.016357516261899e-05,0.14984895620546532,0.7389428540924297,0.888791810297895
0.0,2.5,0.9842105263157894,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.20019625140376124,0.488033746990659,0.3231715492687795,-0.006158559966820482,0.003033068425350981,0.15492659023205516,0.7349415508743593,0.8898681411064144
0.25,2.5,0.8894736842105263,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.2035827692376212,0.4669335818156325,0.31058281439387425,-0.007477649339246589,0.0019990773101459074,0.14984895620546532,0.7400664633406205,0.8899154195460859
0.5,3.5,0.7947368421052632,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.2585331704228829,0.36694417443063626,0.27364491885538583,-0.008658598943334947,0.0004997307178384915,0.14178311906664604,0.7481675740018667,0.8899506930685128
0.25,2.5,0.8421052631578947,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.20727501836387774,0.456011269784646,0.3036493280166688,-0.007477649339246589,0.001109846630155249,0.14984895620546532,0.740363039868145,0.8902119960736103
0.0,2.5,0.7473684210526316,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.21908880462913086,0.4337009340403137,0.28850334301533936,-0.006158559966820482,-0.0016044650391754448,0.15492659023205516,0.7357136043458948,0.89064019457795
0.0,3.5,0.7,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2570701203523371,0.3732411299037577,0.26644144673608655,-0.006158559966820482,0.000647371507294836,0.15492659023205516,0.7361301964799918,0.8910567867120469
0.25,3.5,0.7473684210526316,0.14452171254147578,0.06392452861175403,0.04894614013518705,0.25790816352735213,0.3700903205160899,0.27010495988550326,-0.007477649339246589,0.0005511042854861962,0.14984895620546532,0.7421064758420612,0.8919554320475266
0.5,4.0,0.7,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.6779749935281639,0.24949554790369516,0.32200014563140533,-0.008658598943334947,0.03268911788392409,0.14178311906664604,0.7504795912558739,0.89226271032252
0.0,2.5,0.9368421052631579,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.20126537612879905,0.47762429805744816,0.3170874627131061,-0.006158559966820482,0.002626355564929414,0.15492659023205516,0.738197788526859,0.8931243787589142
0.5,4.0,0.7473684210526316,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.6823200784104255,0.2566356932699255,0.32584869429759394,-0.008658598943334947,0.0314061932567767,0.14178311906664604,0.7515330794380939,0.89331619850474
0.0,2.5,0.7947368421052632,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2124301942648149,0.44491325077692595,0.2962862991341705,-0.006158559966820482,-8.016357516261899e-05,0.15492659023205516,0.7389428540924297,0.8938694443244848
0.5,4.0,1.6,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.6474539433889972,0.279126028665188,0.38447014326554163,-0.008658598943334947,0.0026386536568171,0.14178311906664604,0.7527980579893507,0.8945811770559968
0.5,4.0,0.7947368421052632,0.14767338831740032,0.06004841649918704,0.047908090884859304,0.6859650781842274,0.262943923694104,0.32978636651124194,-0.008658598943334947,0.030003706314717646,0.14178311906664604,0.7528075210013652,0.8945906400680113
0.0,2.5,0.8894736842105263,0.14241399222396828,0.06652579330069344,0.049314789155330004,0.2035827692376212,0.4669335818156325,0.31058281439387425,-0.006158559966820482,0.0019990773101459074,0.15492659023205516,0.7400664633406205,0.8949930535726757
