N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,nonorth_mean,nonorth_std,p3_gap_mean,p3_gap_std
3,-10,-0.03,0.0,2.1546671034039817,0.0,3.0,0.0,1.7986995971577833,2.220446049250313e-16,0.40547786270215525,5.551115123125783e-17,,
3,-10,-0.03,0.0001,2.1546477306766763,0.00014315986356381504,3.0,0.0,1.7987325423626495,0.00014869886980854087,0.4054852999047151,4.855618719182025e-05,,
3,-10,-0.03,0.0003,2.1548279469732363,0.0003713215827679307,3.0,0.0,1.798499962934996,0.0005010756552424948,0.405418586078814,0.00017564360937370857,,
3,-10,-0.03,0.001,2.154456156965819,0.0015230510946882938,3.0,0.0,1.7986731733698587,0.0020730930457190074,0.4054454175061917,0.0006855962508911372,,
3,-10,-0.03,0.003,2.1547202944915287,0.0037071064181513915,3.0,0.0,1.798322469374974,0.004542532552164288,0.40538525157586064,0.0014684534694993953,,
3,-10,-0.03,0.01,2.1519502234576087,0.015343646341074959,3.0,0.0,1.8034012278160954,0.01764623821028267,0.4070696238041046,0.005896425434791728,,
3,-10,0.0,0.0,2.177582963563027,0.0,3.0,0.0,1.775921890879998,2.220446049250313e-16,0.3988868241466241,0.0,,
3,-10,0.0,0.0001,2.1775758809183103,0.00013895999224604254,3.0,0.0,1.7759119513652935,0.00016935779255554826,0.3988815264631785,5.665616431072807e-05,,
3,-10,0.0,0.0003,2.17746638942827,0.0005377532537474465,3.0,0.0,1.7760041955413812,0.0005459001863422918,0.3989055881113558,0.00018162427372543814,,
3,-10,0.0,0.001,2.1772164386010737,0.0013482472335304729,3.0,0.0,1.776674607192764,0.0016593302068892916,0.39913304850588494,0.0005795718953281494,,
3,-10,0.0,0.003,2.1773672181048513,0.004047314608711966,3.0,0.0,1.7755704611377254,0.004856398604060203,0.39863199455968773,0.0016819098705019,,
3,-10,0.0,0.01,2.1750079555330695,0.01077724142327123,3.0,0.0,1.7785966896203995,0.015339600375824878,0.39948129675690264,0.005359850283199833,,
3,-10,0.03,0.0,2.171726247072793,0.0,3.0,0.0,1.766248176584567,2.220446049250313e-16,0.39444620247703727,0.0,,
3,-10,0.03,0.0001,2.171702174837372,0.00014680445258544628,3.0,0.0,1.7662824941928386,0.00013646548186961382,0.39445845880625263,4.478798521734724e-05,,
3,-10,0.03,0.0003,2.1714574161928155,0.0004942497455115132,3.0,0.0,1.766462169003156,0.00042168273491580225,0.3944956763508995,0.00013605076214442792,,
3,-10,0.03,0.001,2.1717658534270723,0.0014730322510398714,3.0,0.0,1.7664502530955026,0.0018310781041237973,0.39451603524559636,0.0006647379584541766,,
3,-10,0.03,0.003,2.1712122590019143,0.004307751447615328,3.0,0.0,1.766673538570323,0.004648919514101289,0.3944881402314726,0.0015871608244300418,,
3,-10,0.03,0.01,2.169039127496108,0.015135080502068734,3.0,0.0,1.7681732175712146,0.018223819239380407,0.39521617035357365,0.006192073583145002,,
3,-10,0.07,0.0,2.128274911363518,0.0,3.0,0.0,1.7700326464243097,0.0,0.392112055588706,0.0,,
3,-10,0.07,0.0001,2.1282748665119655,0.00018029184259345756,3.0,0.0,1.7700377416984607,0.00015643520247064264,0.3921144734063646,5.0382906210769036e-05,,
3,-10,0.07,0.0003,2.1283361951742608,0.00039120914553655075,3.0,0.0,1.770022031414893,0.0004954869677523534,0.392118120699205,0.0001701294815685996,,
3,-10,0.07,0.001,2.128082965176186,0.001364555273289452,3.0,0.0,1.7701628355990393,0.0015477809937261245,0.392172488595759,0.0005450241898677209,,
3,-10,0.07,0.003,2.1276318033371666,0.004175388028186083,3.0,0.0,1.7695255679780408,0.005271973856681928,0.3918729484303798,0.0018566888969794523,,
3,-10,0.07,0.01,2.1262443825060267,0.014821895063704675,3.0,0.0,1.769422559583282,0.014280484239279244,0.3915848429926648,0.004422996831722342,,
3,-10,0.1,0.0,2.082960650805916,0.0,3.0,0.0,1.7801841754863408,0.0,0.39317249296531986,0.0,,
3,-10,0.1,0.0001,2.082964720038667,0.00011544484098757738,3.0,0.0,1.780242420838028,0.00015945217970720734,0.3931922827796178,5.5513592703806325e-05,,
3,-10,0.1,0.0003,2.0829151059248554,0.0003888878614226826,3.0,0.0,1.7802044438074778,0.00046508685390975977,0.39318405378858656,0.00016433827790882696,,
3,-10,0.1,0.001,2.0828254956822514,0.0014394285240444992,3.0,0.0,1.7804063866727198,0.0018403079518531456,0.39324177987082304,0.0006422179805469115,,
3,-10,0.1,0.003,2.0816891392370813,0.004115532130056185,3.0,0.0,1.7812681636809145,0.004301574503848282,0.393453444118564,0.001492985237322756,,
3,-10,0.1,0.01,2.0799576932611057,0.011044985063281321,3.0,0.0,1.78715467274576,0.014153131698712521,0.39544124897606253,0.004716096224937691,,
3,-8,-0.1,0.0,1.7791503359426712,0.0,3.0,0.0,4.581188206317576,0.0,0.8509370981806225,0.0,,
3,-8,-0.1,0.0001,1.7791365612695607,9.417711805520822e-05,3.0,0.0,4.581156885824977,0.0008425577743096206,0.8509331555219578,4.972801552846617e-05,,
3,-8,-0.1,0.0003,1.7792256370120079,0.00027905138503065346,3.0,0.0,4.580826038714025,0.0024021817778009246,0.8509195495364399,0.00015422748583768066,,
3,-8,-0.1,0.001,1.7792516484404697,0.000996180337923823,3.0,0.0,4.579478318407132,0.00874690245115211,0.850826059912723,0.0006258049272197522,,
3,-8,-0.1,0.003,1.7789806029456918,0.002807064722564758,3.0,0.0,4.586709561009792,0.02462761357176789,0.8513534623157442,0.0014643904397982131,,
3,-8,-0.1,0.01,1.7823381364470712,0.01003291430686141,3.0,0.0,4.558660144111284,0.06788944367397957,0.8503255373457463,0.0049102958898158515,,
