N_gen,winding,asym,noise_strength,T_STEPS,N_MONTE,kappa0,tau_decoh_mean,tau_decoh_std,final_survival_mean,final_survival_std
6,-8,-0.03,0.001,300,30,33.14703238087273,301.0,0.0,0.9511561924459231,0.0428354484037486
6,-8,0.0,0.001,300,30,32.779939750089014,301.0,0.0,0.9565693704599532,0.03947465502181406
6,-8,0.03,0.001,300,30,32.67057005498297,301.0,0.0,0.981258376563596,0.011366857449483908
6,-8,0.07,0.001,300,30,32.65201501106087,301.0,0.0,0.9830881236984299,0.015345093174354524
6,-8,0.1,0.001,300,30,32.71239156986734,301.0,0.0,0.9855832734713935,0.009105735869766658
6,-6,-0.1,0.001,300,30,149.49038680013993,301.0,0.0,0.9987590518717717,0.0006596282658784062
6,-6,-0.07,0.001,300,30,144.81716912686832,301.0,0.0,0.9985319163354442,0.0007221318755201818
6,-6,-0.03,0.001,300,30,139.6318342185861,301.0,0.0,0.997925925889456,0.0012143825430790168
6,-6,0.0,0.001,300,30,136.98583803869525,301.0,0.0,0.9978581583217202,0.0013643757985152528
6,-6,0.03,0.001,300,30,135.45931566503225,301.0,0.0,0.9979416380725684,0.0014950694716747998
6,-6,0.07,0.001,300,30,134.49163757988896,301.0,0.0,0.9989632650396785,0.0005112896485127956
6,-6,0.1,0.001,300,30,134.16336171347334,301.0,0.0,0.9984723813777713,0.0009376316001899874
6,6,-0.1,0.001,300,30,149.49038680013993,301.0,0.0,0.9989170432539998,0.0006327926114882134
6,6,-0.07,0.001,300,30,144.81716912686832,301.0,0.0,0.9983685114466662,0.0010483716074838952
6,6,-0.03,0.001,300,30,139.6318342185861,301.0,0.0,0.9980186363523847,0.0014301646187157575
6,6,0.0,0.001,300,30,136.98583803869525,301.0,0.0,0.9974791541269183,0.0017485059379062425
6,6,0.03,0.001,300,30,135.45931566503225,301.0,0.0,0.9977042252620254,0.0016848628205130675
6,6,0.07,0.001,300,30,134.49163757988896,301.0,0.0,0.9982457114692412,0.0008864750596723034
6,6,0.1,0.001,300,30,134.16336171347334,301.0,0.0,0.9987423720284844,0.0005867280922484257
6,8,-0.1,0.001,300,30,35.62441032145169,301.0,0.0,0.9930749114827244,0.0037018534969797618
6,8,-0.07,0.001,300,30,34.43943245322543,301.0,0.0,0.9891263437557473,0.007690877592753151
6,8,-0.03,0.001,300,30,33.14703238087273,301.0,0.0,0.9236340422234487,0.08012927925265856
6,8,0.0,0.001,300,30,32.779939750089014,301.0,0.0,0.968010548029142,0.02198191357099425
6,8,0.03,0.001,300,30,32.67057005498297,301.0,0.0,0.9832317777082268,0.012363392387434736
6,8,0.07,0.001,300,30,32.65201501106087,301.0,0.0,0.9828130817966432,0.012877657512306167
6,8,0.1,0.001,300,30,32.71239156986734,301.0,0.0,0.9796213876482475,0.024150324953846263
6,10,-0.1,0.001,300,30,4.268563948507315,301.0,0.0,0.9808538972286229,0.010574638539981434
6,10,-0.07,0.001,300,30,4.122915386099744,301.0,0.0,0.9748189911216449,0.012911057733001684
6,10,-0.03,0.001,300,30,3.9586494764298,301.0,0.0,0.9245424757206125,0.04845525517420152
6,10,0.0,0.001,300,30,3.8975985289878046,301.0,0.0,0.8971015461544274,0.0610991095553267
6,10,0.03,0.001,300,30,3.892086489784478,301.0,0.0,0.9296987398522414,0.04846404923082756
6,10,0.07,0.001,300,30,3.912330017649822,301.0,0.0,0.967004460993606,0.02805089922251436
6,10,0.1,0.001,300,30,3.9351724392376854,301.0,0.0,0.9742227023985295,0.02337505400459553
6,12,-0.1,0.001,300,30,1.2867071197399955,301.0,0.0,0.9358698333894292,0.04757465920292989
6,12,-0.07,0.001,300,30,1.2546353150010547,301.0,0.0,0.9138119977524627,0.062336111910654475
6,12,-0.03,0.001,300,30,1.2376146550742364,301.0,0.0,0.9284049240729413,0.03624131862955569
6,12,0.0,0.001,300,30,1.2445941010605166,301.0,0.0,0.8359311198152789,0.09359171702363078
6,12,0.03,0.001,300,30,1.2726682007092591,301.0,0.0,0.9118383302026328,0.048697751276788756
6,12,0.07,0.001,300,30,1.334918089538806,301.0,0.0,0.9577942689055122,0.02199490330058152
6,12,0.1,0.001,300,30,1.3944320612228978,301.0,0.0,0.9669941966910224,0.012675451276690551
7,-12,-0.1,0.001,300,30,1.2961410767607,301.0,0.0,0.9266380965353181,0.052061912448792
7,-12,-0.07,0.001,300,30,1.256748856266263,297.8666666666667,16.873516395688114,0.8585977384268518,0.14173836075916163
7,-12,-0.03,0.001,300,30,1.2385839083154386,301.0,0.0,0.833500818663705,0.08480928750842491
7,-12,0.0,0.001,300,30,1.2457608224165608,301.0,0.0,0.8049391931964828,0.08246454716316264
7,-12,0.03,0.001,300,30,1.2743134240750322,301.0,0.0,0.8932715014168463,0.07856937755918801
7,-12,0.07,0.001,300,30,1.338296705701478,301.0,0.0,0.9565387385693591,0.023430860660395438
7,-12,0.1,0.001,300,30,1.399959682900683,301.0,0.0,0.9629426598256945,0.015296159714964121
7,-10,-0.1,0.001,300,30,6.125325931923946,301.0,0.0,0.9591724521162501,0.04800446249445989
7,-10,-0.07,0.001,300,30,5.941602398202475,301.0,0.0,0.9706290663953346,0.015955926358029435
7,-10,-0.03,0.001,300,30,5.746877840599791,301.0,0.0,0.9570437313148799,0.024512585517436215
7,-10,0.0,0.001,300,30,5.649823680276179,301.0,0.0,0.9386012808318885,0.0458221699310667
7,-10,0.03,0.001,300,30,5.5990350038367,301.0,0.0,0.962460485992927,0.013952664090424307
7,-10,0.07,0.001,300,30,5.587602261580803,301.0,0.0,0.9732454279775868,0.011983006484483718
7,-10,0.1,0.001,300,30,5.603382630399723,301.0,0.0,0.9801701336635827,0.011109808730089703
7,-8,-0.1,0.001,300,30,65.1869709679327,301.0,0.0,0.9878929987490338,0.007382218383879087
7,-8,-0.07,0.001,300,30,62.8311175495716,301.0,0.0,0.9831445033009687,0.008226641903001366
7,-8,-0.03,0.001,300,30,60.02315497226101,301.0,0.0,0.9426769574542598,0.034132908128100464
7,-8,0.0,0.001,300,30,58.607263779791914,299.43333333333334,8.436758197844057,0.7852911566067358,0.15283762648204569
7,-8,0.03,0.001,300,30,58.51342633745621,301.0,0.0,0.9533120738759415,0.03107568982176627
7,-8,0.07,0.001,300,30,58.63675450139094,301.0,0.0,0.9796152001551159,0.01727394510383643
7,-8,0.1,0.001,300,30,58.80311266757384,301.0,0.0,0.9893287086942267,0.00878836925834429
7,-6,-0.1,0.001,300,30,171.25271853239823,301.0,0.0,0.9962181856981985,0.00269790813651295
7,-6,-0.07,0.001,300,30,165.02078312492938,301.0,0.0,0.9961112719240965,0.0027145705298595975
7,-6,-0.03,0.001,300,30,158.23823973857304,301.0,0.0,0.9928381404168776,0.005010980512662462
7,-6,0.0,0.001,300,30,155.13857974309173,301.0,0.0,0.9845516354988259,0.008959315645528302
7,-6,0.03,0.001,300,30,153.4784763340595,301.0,0.0,0.993467816960237,0.003918608722993657
7,-6,0.07,0.001,300,30,152.34317808727764,301.0,0.0,0.9963138557977154,0.002071692524030281
7,-6,0.1,0.001,300,30,151.88433769803032,301.0,0.0,0.9979060440669386,0.0013973014035496803
7,6,-0.1,0.001,300,30,171.25271853239823,301.0,0.0,0.9965140705666061,0.0031055025288573303
7,6,-0.07,0.001,300,30,165.02078312492938,301.0,0.0,0.9951719062849216,0.003878177554545782
7,6,-0.03,0.001,300,30,158.23823973857304,301.0,0.0,0.9906033856727251,0.008004909563359409
7,6,0.0,0.001,300,30,155.13857974309173,301.0,0.0,0.9840889436781767,0.01473203913714177
