kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.1,13.154184544513624,1.9684664469206876,0.19958124936124036,9.631687048039517e-06,9.631687048039517e-06,4.987039607354164e-16,0.0,3.0109133616330235
0.42,2.4,0.23,0.015,0.16,0.22,0.3,13.15390298486869,2.114254964833457,0.32186529258950164,3.579918555438738e-05,3.579918555438738e-05,3.3808546151790812e-16,0.0,3.0245184207343954
0.42,2.4,0.23,0.015,0.2,0.19333333333333333,0.3,13.154274853379468,1.9744019090752167,0.287542149776766,3.2449694493709436e-05,3.2449694493709436e-05,2.500537852321758e-16,0.0,3.059299638308867
0.42,2.4,0.23,0.015,0.28,0.19333333333333333,0.4,13.153778578403378,2.1809460944200585,0.32305045918021325,4.5065233977736874e-05,4.5065233977736874e-05,3.390820064331002e-16,0.0,3.078614814720729
0.42,2.4,0.23,0.015,0.32,0.16666666666666669,0.45,13.153973970868424,2.127594240140254,0.31971751851466695,4.566649217357249e-05,4.566649217357249e-05,5.08278788891766e-16,0.0,3.291135922622589
0.42,2.4,0.23,0.015,0.32,0.14,0.15,13.154286080010161,1.9321474493865143,0.17526686525160023,1.2956469420073724e-05,1.2956469420073724e-05,2.4927937116274305e-16,0.0,3.2967459541245017
0.42,2.4,0.23,0.015,0.36,0.08666666666666667,0.4,13.154607716800557,1.8625962155577136,0.21028913714485323,2.523839089875468e-05,2.523839089875468e-05,2.259157350706969e-16,0.0,3.3498933953093477
0.42,2.4,0.23,0.015,0.24,0.16666666666666669,0.25,13.154502680583134,1.8683889624390682,0.22862599697014888,2.4173583650290154e-05,2.4173583650290154e-05,1.4984034897116938e-16,0.0,3.3577004229193177
0.42,2.4,0.23,0.015,0.36,0.19333333333333333,0.45,13.15306665318971,2.424361246186181,0.32959480737167307,5.2611916199603315e-05,5.2611916199603315e-05,2.5759639707793584e-16,0.0,3.357740154059246
0.42,2.4,0.23,0.015,0.16,0.19333333333333333,0.2,13.154433374679943,1.8893908214052388,0.247032276183521,2.1093476785520593e-05,2.1093476785520593e-05,2.529874663629316e-16,0.0,3.365238733937275
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.2,13.154266134263054,1.944371452348702,0.15222912987025433,1.5122900722305127e-05,1.5122900722305127e-05,3.848848689256478e-16,0.0,3.365966033472245
0.42,2.4,0.23,0.015,0.28,0.16666666666666669,0.4,13.154287678234411,1.9970923976870656,0.30066820722017057,3.9720069578679656e-05,3.9720069578679656e-05,2.2696244007422436e-16,0.0,3.3723834163637996
0.42,2.4,0.23,0.015,0.36,0.08666666666666667,0.45,13.154640155234624,1.8704842090718918,0.24520669378540993,2.843500826012549e-05,2.843500826012549e-05,5.595001754009516e-16,0.0,3.40963715673427
0.42,2.4,0.23,0.015,0.16,0.19333333333333333,0.15,13.154415535634712,1.8874571215458638,0.22864426011716385,1.5728336898460094e-05,1.5728336898460094e-05,5.551162556768171e-16,0.0,3.475942320123456
0.42,2.4,0.23,0.015,0.24,0.16666666666666669,0.3,13.154526917964928,1.872550535689318,0.2532858205999626,2.907901818169356e-05,2.907901818169356e-05,2.4986059491859766e-16,0.0,3.4811141663373566
0.42,2.4,0.23,0.015,0.24,0.16666666666666669,0.2,13.154485585229745,1.864269397095712,0.20949410615755976,1.9268094792142254e-05,1.9268094792142254e-05,6.287624830319885e-17,0.0,3.5148205172209455
0.42,2.4,0.23,0.015,0.2,0.22,0.35,13.153724082514241,2.1894508806599484,0.33949615189252363,4.257710464719219e-05,4.257710464719219e-05,4.470853287611714e-16,0.0,3.5236532407828807
0.42,2.4,0.23,0.015,0.32,0.22,0.4,13.152840567735682,2.4809047572684215,0.3356862765476205,5.121564081276772e-05,5.121564081276772e-05,2.7150292843143454e-16,0.0,3.53466396821311
0.42,2.4,0.23,0.015,0.16,0.19333333333333333,0.25,13.15445835570557,1.8913730974455207,0.27069074274142424,2.6458569235797424e-05,2.6458569235797424e-05,3.201741352943447e-16,0.0,3.5704981533726943
0.42,2.4,0.23,0.015,0.32,0.14,0.45,13.154405615660806,1.9683669440602862,0.29887943186361254,3.962847302436609e-05,3.962847302436609e-05,2.4995147127950925e-16,0.0,3.585163415324046
0.42,2.4,0.23,0.015,0.36,0.22,0.4,13.152444899855425,2.5952173063262705,0.32616916909101323,5.2028756939007104e-05,5.2028756939007104e-05,3.189699942786327e-16,0.0,3.5955690910999945
0.42,2.4,0.23,0.015,0.32,0.14,0.1,13.15429115409394,1.9262184159626274,0.18222624742860755,8.510975428459994e-06,8.510975428459994e-06,2.2762586416111167e-16,0.0,3.6334076100297534
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.15,13.154268474791905,1.9372862864166986,0.15595294784713445,1.1247018900688993e-05,1.1247018900688993e-05,2.4999529837477075e-16,0.0,3.63389611979465
0.42,2.4,0.23,0.015,0.36,0.08666666666666667,0.35,13.154582420559025,1.8547262671774587,0.178377529236546,2.2041716945843393e-05,2.2041716945843393e-05,4.991680225112128e-16,0.0,3.6820922339670266
0.42,2.4,0.23,0.015,0.16,0.19333333333333333,0.1,13.154404838522609,1.8855721449011207,0.2168714728706485,1.0363161640294244e-05,1.0363161640294244e-05,2.2913047604445287e-16,0.0,3.81435213732959
0.42,2.4,0.23,0.015,0.36,0.11333333333333334,0.1,13.15427795720523,1.9302246427979948,0.1702079875522293,7.3711118437971845e-06,7.3711118437971845e-06,3.1527033232889763e-16,0.0,3.8188455614139487
0.42,2.4,0.23,0.015,0.28,0.22,0.4,13.153192965330552,2.3747937220684006,0.3461902763558787,5.0394662599272805e-05,5.0394662599272805e-05,2.667685559315603e-16,0.0,3.8309087818334433
