Nmodes,spread,skew,penalty,cond,entropy,cp,unitarity_residual,fragility,collapse,survival_cost,viability
2,2.3866666666666667,0.5,0.4052631578947369,1.2553978504537024,2.128388868972171,0.04235557404643514,2.3633021048361517e-16,2.3345024492126374e-17,False,-0.9156205034246805,11.85122026779778
2,2.5,0.10000000000000009,0.4052631578947369,1.3178487640242247,2.1883279899302335,0.04170321250582444,5.568435337205102e-16,6.674636957353651e-17,False,-0.9155370216617629,11.839506724418825
4,2.5,0.0,0.1,6.153777444243144,2.8315306160865266,0.028645138594524788,1.4794740470587507e-15,1.1675147912822347e-15,False,-0.9154198614043384,11.823106660779263
3,2.5,0.4,0.1,2.600152968554859,2.6590339171198845,0.02920196380899639,7.86547421574688e-16,3.264163135924479e-16,False,-0.9152782275172682,11.80334134538819
2,2.2733333333333334,0.20000000000000007,0.25263157894736843,1.2454050758020698,2.169318436992867,0.039618313177976094,4.44522679167363e-16,4.23677372273912e-17,False,-0.9144342657244617,11.686921271309448
2,2.2733333333333334,0.0,0.1,1.2889195337503982,2.1980133462976856,0.037525506062642114,1.9053550706285535e-16,2.100192974827427e-17,False,-0.9137358166477344,11.592296607230752
2,2.5,-0.09999999999999998,0.25263157894736843,1.393681932476826,2.2224837485045943,0.03943493143980298,7.062732290886936e-16,1.018189406838824e-16,False,-0.9135499559610711,11.567374095838462
3,2.5,0.30000000000000004,0.1,2.718937724409569,2.667943818685335,0.028937887721420662,1.1033414078398141e-15,4.79290691594285e-16,False,-0.9129249058400977,11.48434015085447
2,2.3866666666666667,0.20000000000000007,0.4052631578947369,1.2703292187188666,2.1709975752675956,0.04121328761344953,4.4104299607080356e-16,4.5831550721671953e-17,False,-0.9127688271756318,11.463791757258685
4,2.3866666666666667,0.20000000000000007,0.1,6.146035218021022,2.8481368019415667,0.027910341551268533,2.0417407909138596e-15,1.6101066699139917e-15,False,-0.9122781115458183,11.399663386434197
3,2.5,0.5,0.1,2.5044786685429425,2.6483916274668755,0.028974601146073288,4.777029714355477e-16,1.9046845665461691e-16,False,-0.9119721846260151,11.360045637296745
2,2.5,0.30000000000000004,0.5578947368421052,1.2788263429278006,2.157628688345575,0.04319539448104,8.688869536365456e-16,9.280718301931978e-17,False,-0.9117715020096968,11.33420632537466
2,2.5,0.4,0.5578947368421052,1.2741922736663007,2.143006554304476,0.04347104334064704,5.162835502930473e-16,5.433108254179724e-17,False,-0.9117520375842452,11.331706394407027
2,2.3866666666666667,0.0,0.25263157894736843,1.3210563144536207,2.201612842796001,0.039182444432253896,9.33854995672693e-16,1.1292298928725934e-16,False,-0.9116791081750858,11.322349438934364
