Nmodes,spread,skew,effective_rank,singular_min,singular_max,condition_number,qr_residual,svd_residual,entropy,collapse,stability_score
4,1.1400000000000001,-0.3,4,0.47126264380562877,1.3950796029265977,2.9603016943180314,5.749869120931135e-16,1.5868083719503978e-15,2.933165752974344,False,-0.13723156817415277
5,1.1400000000000001,0.20000000000000007,5,0.17928411805021768,1.5640638273041516,8.723939656863836,9.452876930936759e-16,2.1448037374014478e-15,3.1206480554490894,False,-0.13721814971405608
5,1.1400000000000001,0.10000000000000009,5,0.17640653515968996,1.5629155726000983,8.85973737415843,1.2364844697685949e-15,1.691667610485285e-15,3.1209243809047162,False,-0.1370978020762148
5,1.1400000000000001,0.0,5,0.17284475697367993,1.562631357936423,9.040663918862021,9.698896198961288e-16,1.4519811659518413e-15,3.1217814796147865,False,-0.1369650674824892
4,1.1400000000000001,-0.4,4,0.4663038769463293,1.4004345823107163,3.003266006454207,1.0507241717152767e-15,2.06194379833426e-15,2.9286724892162646,False,-0.13688174845273532
5,1.1400000000000001,-0.09999999999999998,5,0.16851832385308807,1.563140346603166,9.275788595938623,9.753435499539875e-16,1.5575401922921742e-15,3.1228714366631127,False,-0.1367965549912803
5,1.1400000000000001,-0.19999999999999996,5,0.163318338407787,1.5643908451013047,9.578782519787836,8.120926428239802e-16,1.7800612869813982e-15,3.1237951036850067,False,-0.13656354892446967
4,1.1400000000000001,-0.5,4,0.4596533794017502,1.4071013110303239,3.0612225952993093,6.196545410410722e-16,1.4892458332545112e-15,2.9227429448644684,False,-0.13641924903810654
5,1.1400000000000001,-0.3,5,0.15709556498023663,1.566348699192936,9.970674215977963,6.708912860723976e-16,1.323656533492612e-15,3.124190332559568,False,-0.13623502610290922
4,1.2533333333333334,0.20000000000000007,4,0.41532720029970344,1.4189905847476612,3.4165606869083125,1.0134111420566154e-15,1.4914990634890729e-15,2.934142846504919,False,-0.13603535953895107
4,1.2533333333333334,0.30000000000000004,4,0.41046505791693,1.4187836049850837,3.456527121176335,6.634722020657743e-16,1.180958157272313e-15,2.9355643821826494,False,-0.13600541973182645
4,1.2533333333333334,0.10000000000000009,4,0.4182936821933729,1.4202370382345022,3.3953107558003737,5.665047547986873e-16,1.1085520958732095e-15,2.9319666074206183,False,-0.13598073978630976
4,1.2533333333333334,0.4,4,0.40326500352725636,1.4197542898886326,3.5206484011020125,8.071627626521039e-16,1.2263599363857222e-15,2.935988643539368,False,-0.13586697907167605
4,1.2533333333333334,0.0,4,0.419662378552665,1.4224483783640978,3.389506543974347,1.1694300929610623e-15,1.5069386176706036e-15,2.9291079474892943,False,-0.1358526678400635
5,1.1400000000000001,-0.4,5,0.14964015004056214,1.5689997053215803,10.485151912078944,1.0293716677260419e-15,2.9661407657480176e-15,3.124011762669642,False,-0.1357890935927209
4,1.2533333333333334,-0.09999999999999998,4,0.4196231926332184,1.4256040484012917,3.3973433152141683,7.996040343939173e-16,1.7096243323392347e-15,2.925519925666631,False,-0.13565320755747254
4,1.2533333333333334,0.5,4,0.3930821793370108,1.422116141160284,3.6178596128648874,6.84009187659363e-16,1.5022706632172494e-15,2.934923655016068,False,-0.13557714854035305
4,1.2533333333333334,-0.19999999999999996,4,0.4182744248736476,1.4297332931258484,3.4181704835473568,5.259402940404793e-16,1.2299764410103466e-15,2.9210627789685386,False,-0.13537726455535082
5,1.1400000000000001,-0.5,5,0.14064905932512045,1.5723569346952233,11.179292220224571,7.661784815435016e-16,1.5988170931801527e-15,3.1241443664819535,False,-0.13523893215394803
5,1.2533333333333334,0.5,5,0.1510593204148198,1.6054601346454063,10.628011103430739,7.114777531496005e-16,1.6751884512389565e-15,3.110894645602501,False,-0.1350156922909202
4,1.2533333333333334,-0.3,4,0.41561979602809007,1.43491660715682,3.452474162370841,4.721571873792654e-16,8.783287151628873e-16,2.9155258635342585,False,-0.13501368443492343
5,1.2533333333333334,0.4,5,0.14939877021545195,1.6003557907431734,10.711974325058081,8.898302919018899e-16,1.829228588998422e-15,3.1032549925931914,False,-0.13456535916828388
4,1.2533333333333334,-0.4,4,0.4115403898400376,1.4412919080254423,3.502188226496215,7.02510535780068e-16,1.162104191167313e-15,2.9086816685220644,False,-0.13454729375202154
5,1.2533333333333334,0.30000000000000004,5,0.1472202921737953,1.5965825884473461,10.844854094995013,5.610697531868652e-16,2.6751438393997427e-15,3.098690565731963,False,-0.13423005401743263
4,1.3666666666666667,0.20000000000000007,4,0.36161685685066197,1.447769374498995,4.0036003495735395,7.730806410476112e-16,1.4456232505928333e-15,2.9255040485332,False,-0.13422618805669365
4,1.3666666666666667,0.30000000000000004,4,0.3550203942588767,1.4468733040769066,4.075465318259614,5.9999918672501825e-16,1.5357799969556868e-15,2.9281019731916755,False,-0.13420155462571595
