N_gen,eps_H,eps_D,kappa0,width_mean,width_std,max_imag_mean,gap_min_mean,final_imag_mean
7,0.01,0.0003,153.4784763340595,0.00088219676230087,0.00021063006347105595,0.003382203804972668,0.008919002694867102,0.0013643181912849787
7,0.01,0.001,153.4784763340595,0.0027674905517255945,0.0004414760479139044,0.010999813803406144,0.008376065153952566,0.0038960554642284593
7,0.01,0.003,153.4784763340595,0.00934307637787167,0.0013865853350089976,0.03536327363194857,0.009460702671589648,0.013950893051344476
7,0.01,0.01,153.4784763340595,0.034385246311021564,0.005681936168563916,0.12356270447479774,0.009916718497423371,0.04797395327094019
8,0.001,0.0001,160.81846402907615,0.00026010978972638846,5.302308330796704e-05,0.0010735328596502328,0.0015155591856230476,0.00040647715774554523
8,0.001,0.0003,160.81846402907615,0.0007826098797163967,0.0001410611130573767,0.0029638883288186724,0.001387654078434671,0.0011760874721955517
8,0.001,0.001,160.81846402907615,0.0025609138170819548,0.0004745869282501684,0.011150462212983277,0.00131215432820309,0.0037542579607520088
8,0.001,0.003,160.81846402907615,0.008490499401562702,0.0016714251853560977,0.03303650532744054,0.00162701750806802,0.012861444815382669
8,0.001,0.01,160.81846402907615,0.031071392773308774,0.006325221232035244,0.12175748284228363,0.002112366850662782,0.048079167177967716
8,0.003,0.0001,160.81846402907615,0.0002447928483766089,4.195640089228722e-05,0.0010177232970262986,0.0016657706160655976,0.0003741650139644701
8,0.003,0.0003,160.81846402907615,0.0007424413810427866,0.0001267614006516381,0.003156108217696265,0.0017921593076691586,0.001161625514766876
8,0.003,0.001,160.81846402907615,0.0027742966485253093,0.0006371310130991144,0.010792270942440601,0.001782266758531398,0.004248304743763533
8,0.003,0.003,160.81846402907615,0.008705214235241595,0.0016028598513206473,0.03474879009614787,0.002006610016159643,0.012667738229373999
8,0.003,0.01,160.81846402907615,0.03408940614272169,0.006034028437852619,0.14176932215033314,0.002112366850662782,0.05767287113926091
8,0.01,0.0001,160.81846402907615,0.0002730464729967295,3.607512422734735e-05,0.0010515210108665567,0.00203897316120161,0.0003876827682290743
