kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.36,0.2,0.26,13.152827359460348,2.447929938279483,0.2515760854266625,3.100982862453208e-05,3.100982862453208e-05,3.2968190326138233e-16,0.0,0.3910788368460026
0.42,2.4,0.23,0.015,0.36,0.17,0.3,13.153430856735755,2.263067118309927,0.23333326004893673,3.139145492161294e-05,3.139145492161294e-05,5.239016575856165e-16,0.0,0.3914454714050737
0.42,2.4,0.23,0.015,0.32,0.2,0.2,13.153198876870146,2.3230326601472044,0.24029932256989703,2.333509570517575e-05,2.333509570517575e-05,2.248759718935894e-16,0.0,0.391988534659911
0.42,2.4,0.23,0.015,0.32,0.2,0.24,13.153207349239194,2.3266486427549395,0.2487936707466643,2.8112320776846333e-05,2.8112320776846333e-05,1.1663072746136606e-16,0.0,0.3959473595351635
0.42,2.4,0.23,0.015,0.42,0.18,0.2,13.152569438745058,2.51459391628679,0.2261301568251203,2.2297903759141424e-05,2.2297903759141424e-05,6.465901792335332e-16,0.0,0.3983162459098869
0.42,2.4,0.23,0.015,0.45999999999999996,0.16,0.3,13.152445181310357,2.5641422692138227,0.21547609792925848,3.1353274510526746e-05,3.1353274510526746e-05,6.002695486539121e-16,0.0,0.4006695686887609
0.42,2.4,0.23,0.015,0.34,0.19,0.27999999999999997,13.15324001998958,2.3226927337863326,0.24887082078343706,3.177605693753874e-05,3.177605693753874e-05,1.1648873193252766e-16,0.0,0.40272785051858234
0.42,2.4,0.23,0.015,0.4,0.19,0.2,13.152600508726396,2.5061266751063895,0.23404277471113266,2.3100567502737368e-05,2.3100567502737368e-05,2.498671812728872e-16,0.0,0.40381610783355604
0.42,2.4,0.23,0.015,0.36,0.2,0.18,13.15281597736248,2.4399222172063153,0.240227003886819,2.1281111644993328e-05,2.1281111644993328e-05,3.317088861264848e-16,0.0,0.40591883790480093
0.42,2.4,0.23,0.015,0.34,0.18,0.24,13.153426051482622,2.253656053603544,0.2270810794060257,2.596934598081413e-05,2.596934598081413e-05,4.252837438639296e-17,0.0,0.41020024210498235
0.42,2.4,0.23,0.015,0.34,0.18,0.26,13.153431026930384,2.255749068016297,0.2323909305270895,2.817636757976305e-05,2.817636757976305e-05,4.498895053072479e-16,0.0,0.4103557990295839
0.42,2.4,0.23,0.015,0.45999999999999996,0.16,0.24,13.152440180556908,2.5559976292368156,0.20970841606748553,2.495052069577744e-05,2.495052069577744e-05,5.982080942568288e-16,0.0,0.4143515830580707
0.42,2.4,0.23,0.015,0.36,0.18,0.18,13.15322237996859,2.311171165434176,0.21981246108569144,1.9514821280736117e-05,1.9514821280736117e-05,1.739230612327764e-16,0.0,0.4165036822280117
0.42,2.4,0.23,0.015,0.32,0.21000000000000002,0.2,13.152979672972892,2.39299777499101,0.2506592581247236,2.431717209968806e-05,2.431717209968806e-05,2.683983592388749e-16,0.0,0.417053614005927
