winding,spread,phase_offset,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,Jckm,Jpmns,score
2.5,2.1641025641025644,5.73682136742484,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4250770530686859,0.35480532669349385,0.23999303231152633,2.7743590100378333e-05,-0.013142389919796282,0.8021004823662585
2.5,2.1641025641025644,6.283185307179586,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4250770530686858,0.35480532669349385,0.2399930323115266,2.7743590100378333e-05,-0.013142389919796299,0.8021004823662587
2.5,2.1641025641025644,3.551365608405853,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42507705306868593,0.3548053266934939,0.23999303231152674,2.7743590100378333e-05,-0.013142389919796302,0.8021004823662587
2.5,2.1641025641025644,3.0050016686511065,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4250770530686859,0.35480532669349385,0.23999303231152674,2.7743590100378333e-05,-0.013142389919796282,0.8021004823662587
2.5,2.1641025641025644,4.0977295481606,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42507705306868576,0.35480532669349385,0.23999303231152663,2.7743590100378333e-05,-0.013142389919796285,0.8021004823662587
2.5,2.1641025641025644,1.9122737891416133,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4250770530686858,0.3548053266934938,0.23999303231152644,2.7743590100378333e-05,-0.013142389919796285,0.8021004823662587
2.5,2.1641025641025644,4.370911518037973,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.425077053068686,0.35480532669349363,0.2399930323115265,2.7743590100378333e-05,-0.013142389919796278,0.8021004823662587
2.5,2.1641025641025644,3.8245475782832266,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4250770530686858,0.35480532669349385,0.23999303231152674,2.7743590100378333e-05,-0.01314238991979629,0.802100482366259
2.5,2.1282051282051286,3.2781836385284797,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190524,0.34946559251065445,0.23770110658446209,2.7743590100378333e-05,-0.013819641751260527,0.8059460041088142
2.5,2.1282051282051286,2.731819698773733,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819052,0.3494655925106545,0.23770110658446242,2.7743590100378333e-05,-0.013819641751260506,0.8059460041088145
2.5,2.1282051282051286,4.644093487915346,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190535,0.3494655925106543,0.23770110658446233,2.7743590100378333e-05,-0.013819641751260537,0.8059460041088145
2.5,2.1282051282051286,5.463639397547466,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819053,0.3494655925106544,0.23770110658446228,2.7743590100378333e-05,-0.013819641751260521,0.8059460041088145
2.5,2.1282051282051286,6.010003337302213,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819053,0.3494655925106543,0.23770110658446222,2.7743590100378333e-05,-0.013819641751260511,0.8059460041088145
2.5,2.1282051282051286,0.0,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819052,0.3494655925106543,0.2377011065844623,2.7743590100378333e-05,-0.013819641751260514,0.8059460041088147
2.5,2.1282051282051286,4.370911518037973,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190535,0.34946559251065423,0.23770110658446242,2.7743590100378333e-05,-0.013819641751260502,0.8059460041088147
2.5,2.1282051282051286,4.917275457792719,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.34946559251065445,0.2377011065844624,2.7743590100378333e-05,-0.013819641751260513,0.8059460041088147
2.5,2.1282051282051286,3.8245475782832266,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.3494655925106545,0.23770110658446247,2.7743590100378333e-05,-0.01381964175126051,0.8059460041088147
2.5,2.1282051282051286,6.283185307179586,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190524,0.3494655925106544,0.23770110658446253,2.7743590100378333e-05,-0.013819641751260527,0.8059460041088147
2.5,2.1282051282051286,5.73682136742484,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819051,0.3494655925106543,0.2377011065844621,2.7743590100378333e-05,-0.013819641751260502,0.8059460041088147
2.5,2.1282051282051286,0.5463639397547466,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.34946559251065434,0.23770110658446256,2.7743590100378333e-05,-0.013819641751260513,0.8059460041088149
2.5,2.1282051282051286,1.3659098493868664,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.349465592510654,0.23770110658446217,2.7743590100378333e-05,-0.013819641751260499,0.8059460041088149
2.5,2.1282051282051286,4.0977295481606,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819051,0.3494655925106545,0.23770110658446267,2.7743590100378333e-05,-0.013819641751260528,0.8059460041088149
2.5,2.1282051282051286,1.9122737891416133,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.3494655925106544,0.23770110658446267,2.7743590100378333e-05,-0.01381964175126051,0.8059460041088149
2.5,2.1282051282051286,1.6390918192642399,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190524,0.34946559251065434,0.23770110658446267,2.7743590100378333e-05,-0.013819641751260513,0.8059460041088149
2.5,2.1282051282051286,3.551365608405853,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.34946559251065457,0.23770110658446275,2.7743590100378333e-05,-0.01381964175126052,0.8059460041088149
2.5,2.1282051282051286,2.4586377288963597,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.4242793397819052,0.34946559251065445,0.2377011065844626,2.7743590100378333e-05,-0.013819641751260514,0.8059460041088149
2.5,2.1282051282051286,1.0927278795094932,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190513,0.3494655925106544,0.2377011065844626,2.7743590100378333e-05,-0.013819641751260495,0.8059460041088149
2.5,2.1282051282051286,0.2731819698773733,0.03548018266239278,0.0022530213187170905,0.014223033798021673,0.42427933978190496,0.34946559251065434,0.23770110658446245,2.7743590100378333e-05,-0.013819641751260513,0.8059460041088149
