loc12,loc23,tail,spread,cyclic,tau_align,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,score_ckm,score_pmns,score
0.34,0.46,0.0,1.15,0.35,0.1,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16525871889148286,0.46921476453816785,0.6344734834296507
0.1,0.1,0.06,1.15,0.1,0.85,0.02813009554283786,0.0258472279214317,0.009848035207730267,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.22137071174346074,0.4133567774508578,0.6347274891943185
0.26,0.46,0.0,0.9,0.1,0.6,0.07015479826436358,0.014741842696771774,0.01041740877944059,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.19102076781830524,0.4438195856841353,0.6348403535024405
0.34,0.46,0.0,0.9,0.1,0.85,0.09713397369851194,0.016067934115462885,0.012960626705457673,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16525871889148286,0.4696048569085019,0.6348635757999848
0.1,0.46,0.03,1.15,0.1,0.85,0.03385883623156132,0.01846587625381647,0.008440680707352816,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.22161596822197502,0.4133567774508578,0.6349727456728328
0.26,0.34,0.03,0.9,0.1,0.6,0.06802811869612221,0.016799184466166277,0.010930567524533022,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.19160326436224454,0.4438195856841353,0.6354228500463799
0.26,0.1,0.03,1.15,0.1,0.1,0.06505585776850506,0.014612799926092788,0.010019031873310184,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.19585037417871234,0.439583080281903,0.6354334544606154
0.34,0.22,0.06,1.15,0.1,0.35,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16678605302019905,0.46894124713668406,0.6357273001568831
0.26,0.1,0.06,0.9,0.1,0.6,0.0626300347793841,0.02329153970793657,0.0125305540232363,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.19210897953591566,0.4438195856841353,0.635928565220051
0.34,0.22,0.06,1.15,0.35,0.1,0.09023719563130382,0.02350800125691051,0.015031249908413369,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16678605302019905,0.46921476453816785,0.6360008175583669
