N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,unitarity_defect_mean,unitarity_defect_std
1,-10,0.0,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00010157350560111799,8.851103918136806e-05
1,-10,0.0,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0004159647435956648,0.00030677984962578186
1,-10,0.0,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.001119778488505705,0.0009595262678575533
1,-10,0.0,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.002612382443051613,0.001911045360865261
1,-10,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012818067944107715,0.009927775372254487
1,-10,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-10,0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00012697922752577195,0.00010359399835621796
1,-10,0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003639720792923007,0.00026183298512885315
1,-10,0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.001281324256168368,0.0008236714810462088
1,-10,0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0038781490717273793,0.002872669679965329
1,-10,0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011731541840927291,0.007831242802227868
1,-10,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-10,0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011148219834490769,7.727338207405871e-05
1,-10,0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003686186398024005,0.0003185444715311456
1,-10,0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011962616136959926,0.0008702848514491797
1,-10,0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0030719377673028014,0.0023400023645596202
1,-10,0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.013685694156100265,0.010333600512959468
1,-10,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-10,0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00013317322347431438,0.00010285907421380422
1,-10,0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003357199440706249,0.00022444430326403478
1,-10,0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0010345453115503766,0.0006906650872303929
1,-10,0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003662267987833845,0.0027083273361448324
1,-10,0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010831821116350426,0.009280538347391324
1,-8,-0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-8,-0.1,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00012138142574816824,8.816699516549084e-05
1,-8,-0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0002793279849965935,0.00021812819294427424
1,-8,-0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0010014557281321857,0.0008666867394010935
1,-8,-0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0034321578824478283,0.002937054812630229
1,-8,-0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011763433454493804,0.008756413954363175
1,-8,-0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-8,-0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,8.104825686638062e-05,6.380860400131986e-05
1,-8,-0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00025725789185890855,0.0001926977299635237
1,-8,-0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.000997356153980815,0.0007963181847138327
1,-8,-0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003121217928045681,0.002835454221734597
1,-8,-0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011622638516035885,0.010612992452668238
1,-8,-0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-8,-0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011947360977609733,9.537178301243543e-05
1,-8,-0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003580050501323595,0.0002311353751932045
1,-8,-0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0012039746659343353,0.0009818588558649494
1,-8,-0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0031791283811236147,0.0022414116362333225
1,-8,-0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010069624892524746,0.006679086566287302
1,-8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-8,0.0,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,9.343869365397772e-05,8.416804392770442e-05
1,-8,0.0,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00042569467521069715,0.000325938255117745
1,-8,0.0,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.000931407947145586,0.0006641546226902559
1,-8,0.0,0.003,1.0,1.570092458683775e-17,1.0,0.0,1.0,0.0,0.0035335763547953824,0.002311452359156743
1,-8,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012123224095565195,0.009219505654257642
1,-8,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,-8,0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.0001254252969032299,9.383127632716998e-05
1,-8,0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00037341484263968993,0.0002751858226001564
1,-8,0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0009795391968899492,0.0007693981889718464
1,-8,0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0034120668138215684,0.002511436836919338
1,-8,0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.012785067794516738,0.009860795036542943
1,-8,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,-8,0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00010664168359831195,8.61160784709343e-05
1,-8,0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.000369220777109589,0.00027361209112002066
1,-8,0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0012168126410962076,0.0008279504124433328
1,-8,0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003564788893137676,0.0025976236313557583
1,-8,0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.013273366447057677,0.00951398649930747
1,-8,0.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
