align_rank,cp_e,cp_nu,cp_rel,beta_e,beta_nu,beta_rel,phase_e,phase_nu,phase_rel,theta12,theta23,theta13,J,absJ,raw_unitarity,raw_leakage,gap_e,gap_nu,s1,s2,s3,L12,L23,L13,LJ,Lleak,Lunit,Lsign,Lgap,loss,P_overlap,P_misalignment,L12_check,L23_check,L13_check,LJ_check,Lalign,loss_with_Lalign,noalign_rank,loss_without_Lalign,loss_without_Lalign_validation
22,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.02,0.03,0.0099999999999999,33.302971673168,48.90886970499139,8.501808429666367,-0.0310159120181092,0.0310159120181092,0.9527513461488988,0.1977330096256043,1.0904309218585793,1.0812158516018395,0.9953932980953852,0.9427850445142744,0.2319477517491785,0.01303941830165,0.0376697105208011,0.0744014442330697,0.1076032395668693,6.920655336896152,14.29127019223348,0.0,0.0920976669516523,21.536737008703675,0.6444837391981632,0.35551626080183685,0.013039418301650063,0.026159521195000784,0.03795992052707641,0.04782366202972378,42.66195129622042,61.39200122281067,85,18.730049926590247,18.730049926590247
23,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.02,0.02,33.30297167316943,48.908869704991176,8.50180842966607,-0.0310159120181104,0.0310159120181104,0.9527513461488988,0.1977330096256045,1.0904309218585806,1.0812158516018393,0.9953932980953856,0.942785044514274,0.2319477517491782,0.0130394183013782,0.0376697105208562,0.0744014442337171,0.1076032395666091,6.920655336896157,14.291270192233483,0.0,0.0920976669516522,21.53673700870385,0.644483739198163,0.35551626080183696,0.013039418301378254,0.026159521195039094,0.03795992052740668,0.0478236620296071,42.66195129622044,61.39200122281068,84,18.73004992659024,18.73004992659024
24,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.02,0.04,0.0199999999999999,33.30297167316803,48.90886970499131,8.501808429666246,-0.0310159120181088,0.0310159120181088,0.9527513461488984,0.1977330096256042,1.0904309218585793,1.0812158516018393,0.9953932980953863,0.9427850445142753,0.2319477517491786,0.0130394183016446,0.0376697105208213,0.0744014442333333,0.1076032395669505,6.920655336896147,14.291270192233476,0.0,0.0920976669516523,21.536737008704023,0.6444837391981644,0.3555162608018356,0.013039418301644653,0.026159521195014825,0.037959920527210894,0.04782366202976289,42.66195129622027,61.39200122281069,92,18.730049926590418,18.730049926590418
25,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.04,0.04,33.30297167316849,48.90886970499109,8.501808429666132,-0.0310159120181097,0.0310159120181097,0.952751346148898,0.1977330096256035,1.0904309218585806,1.0812158516018393,0.9953932980953868,0.9427850445142736,0.2319477517491801,0.0130394183015567,0.0376697105208783,0.0744014442335814,0.1076032395667517,6.920655336896124,14.291270192233467,0.0,0.0920976669516522,21.536737008704016,0.6444837391981638,0.3555162608018362,0.013039418301556756,0.02615952119505441,0.037959920527337467,0.047823662029675224,42.661951296220344,61.392001222810705,91,18.73004992659036,18.73004992659036
26,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.02,0.02,-3.469446951953614e-18,33.302971673168955,48.90886970499135,8.50180842966618,-0.0310159120181094,0.0310159120181094,0.9527513461488992,0.1977330096256051,1.0904309218585793,1.0812158516018393,0.9953932980953856,0.9427850445142748,0.2319477517491769,0.0130394183014688,0.0376697105208121,0.0744014442334767,0.107603239566823,6.920655336896181,14.291270192233489,0.0,0.0920976669516523,21.536737008703906,0.6444837391981634,0.3555162608018366,0.013039418301468856,0.026159521195007168,0.03795992052728407,0.04782366202970455,42.661951296220394,61.39200122281071,87,18.73004992659032,18.73004992659032
27,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.08,0.1,33.302971673168855,48.90886970499053,8.501808429666246,-0.0310159120181098,0.0310159120181098,0.952751346148899,0.1977330096256047,1.0904309218585804,1.0812158516018384,0.9953932980953858,0.9427850445142746,0.2319477517491777,0.0130394183014877,0.0376697105210236,0.0744014442333333,0.1076032395667449,6.920655336896167,14.291270192233483,0.0,0.0920976669516523,21.53673700870389,0.6444837391981635,0.3555162608018365,0.01303941830148779,0.026159521195155293,0.037959920527210894,0.04782366202966544,42.66195129622038,61.39200122281072,90,18.730049926590343,18.730049926590343
28,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.04,0.06,33.30297167316847,48.90886970499124,8.501808429666085,-0.0310159120181093,0.0310159120181093,0.952751346148898,0.1977330096256038,1.0904309218585804,1.0812158516018393,0.9953932980953863,0.9427850445142748,0.2319477517491795,0.0130394183015608,0.0376697105208397,0.074401444233686,0.1076032395668519,6.920655336896134,14.29127019223347,0.0,0.0920976669516522,21.536737008704197,0.6444837391981643,0.35551626080183574,0.013039418301560813,0.026159521195027603,0.03795992052739086,0.04782366202971434,42.66195129622029,61.392001222810734,94,18.73004992659045,18.73004992659045
29,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.03,0.0499999999999999,33.30297167316844,48.90886970499128,8.50180842966619,-0.0310159120181096,0.0310159120181096,0.9527513461488982,0.1977330096256039,1.0904309218585804,1.0812158516018395,0.9953932980953852,0.942785044514274,0.2319477517491795,0.0130394183015662,0.0376697105208287,0.0744014442334573,0.1076032395667813,6.920655336896136,14.291270192233473,0.0,0.0920976669516522,21.53673700870389,0.644483739198163,0.35551626080183696,0.01303941830156622,0.026159521195019936,0.037959920527274184,0.04782366202968499,42.66195129622044,61.39200122281075,86,18.730049926590308,18.730049926590308
30,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,-0.0199999999999999,0.02,0.0399999999999999,33.302971673169424,48.9088697049913,8.50180842966602,-0.03101591201811,0.03101591201811,0.9527513461488988,0.1977330096256047,1.0904309218585804,1.0812158516018393,0.9953932980953852,0.9427850445142744,0.2319477517491777,0.0130394183013796,0.0376697105208231,0.0744014442338256,0.1076032395667031,6.920655336896164,14.291270192233483,0.0,0.0920976669516522,21.53673700870403,0.6444837391981629,0.35551626080183707,0.013039418301379604,0.026159521195017386,0.03795992052746206,0.04782366202964622,42.66195129622045,61.39200122281078,89,18.73004992659033,18.73004992659033
31,0.1,0.1399999999999999,0.0399999999999999,0.0049999999999999,0.0,-0.0049999999999999,0.0,0.05,0.05,33.30297167316822,48.90886970499064,8.501808429666195,-0.0310159120181097,0.0310159120181097,0.952751346148898,0.1977330096256037,1.0904309218585806,1.081215851601839,0.995393298095386,0.942785044514274,0.2319477517491797,0.0130394183016081,0.0376697105209941,0.0744014442334457,0.1076032395667654,6.92065533689613,14.29127019223347,0.0,0.0920976669516522,21.536737008704065,0.6444837391981636,0.3555162608018364,0.013039418301608142,0.026159521195134858,0.037959920527268244,0.047823662029675224,42.661951296220366,61.392001222810805,93,18.730049926590436,18.730049926590436
