winding,asym,noise,theta12,theta23,theta13,J,absJ,unitarity_defect,gap34,loss
8,-0.010000000000000009,0.0001,6.3739890569050654e-15,5.131568865131302e-15,1.7844708189997576e-14,2.3947971802426073e-48,2.3947971802426073e-48,1.4708810620746249e-15,1.180414491813578,3610.6688999999983
8,-0.010000000000000009,0.0003,1.5004343979047396e-14,1.829617624343538e-15,3.990470297182631e-15,2.7369110631344083e-48,2.7369110631344083e-48,4.454413910045321e-16,1.1805702172423518,3610.668899999999
8,-0.010000000000000009,0.001,5.928379114896335e-15,1.601804438297409e-14,1.2366835426598151e-14,2.0526832973508063e-48,2.0526832973508063e-48,3.3864318080551877e-16,1.1809039511753365,3610.6688999999983
8,-0.010000000000000009,0.003,2.3427142349498487e-15,4.021280982471949e-15,1.3620017531131081e-14,5.986992950606518e-49,5.986992950606518e-49,5.182189153600745e-16,1.1816727525523556,3610.668899999999
8,0.0,0.0,1.5731023516020236e-14,6.7640034779335706e-15,7.116371787001611e-15,0.0,0.0,4.533181546638278e-16,1.1772209291938167,3610.6688999999983
8,0.0,0.0001,1.423289741547272e-14,1.5277003278337465e-14,1.2869306568386145e-14,2.7369110631344083e-48,2.7369110631344083e-48,9.068653990757661e-16,1.1772459735767022,3610.668899999998
8,0.0,0.0003,5.63542196094506e-15,1.7181278576319717e-14,1.7258851546469684e-14,2.7369110631344083e-48,2.7369110631344083e-48,9.999223334340654e-16,1.1770658532560025,3610.668899999998
8,0.0,0.001,7.322306675520323e-15,4.091331698203996e-15,1.1651186080628787e-14,-1.8727561335210765e-48,1.8727561335210765e-48,4.449238387687046e-16,1.1774176554994165,3610.6688999999988
8,0.0,0.003,5.229877897364567e-15,1.1109510356654117e-14,6.297606933665083e-15,-1.94598566670428e-48,1.94598566670428e-48,1.0795583609668848e-15,1.1795905826422253,3610.6688999999983
8,0.009999999999999995,0.0,9.975874897206377e-15,4.5893029937421085e-15,1.5749592577282803e-14,6.842277657836021e-49,6.842277657836021e-49,2.9685701323790355e-16,1.1723526072142554,3610.6688999999983
8,0.009999999999999995,0.0001,1.52859137195652e-14,4.150081391025067e-15,2.342499324077664e-15,1.3684555315672042e-48,1.3684555315672042e-48,6.3435732160992e-16,1.1723436297667715,3610.6688999999983
8,0.009999999999999995,0.0003,1.5939115300061337e-14,1.0382178588585323e-14,2.0068211160118654e-14,1.642146637880645e-47,1.642146637880645e-47,1.387892223956159e-15,1.172505812247593,3610.668899999998
8,0.009999999999999995,0.001,4.304890444193612e-15,8.139198183422954e-15,9.515910608904065e-15,8.552847072295026e-49,8.552847072295026e-49,1.3110316565196335e-15,1.1726318413306478,3610.6688999999988
8,0.009999999999999995,0.003,1.549699721413818e-14,6.365753460788826e-15,9.430503073199019e-15,0.0,0.0,5.058311895742592e-16,1.1740271636719346,3610.6688999999983
8,0.01999999999999999,0.0,8.136968451198118e-15,1.5410108549061926e-14,1.7758958665445683e-14,2.7369110631344083e-48,2.7369110631344083e-48,5.10596335791609e-16,1.1659379496017175,3610.668899999998
8,0.01999999999999999,0.0001,9.37645196526029e-15,3.767837694834727e-15,9.552062919903919e-15,-1.027159311782859e-48,1.027159311782859e-48,2.3006625302293396e-16,1.165944321332836,3610.6688999999988
8,0.01999999999999999,0.0003,1.8754088007627378e-14,6.832611351864699e-15,1.331220630869411e-14,2.8201117342806092e-49,2.8201117342806092e-49,4.695583256969712e-16,1.166090013416226,3610.668899999998
8,0.01999999999999999,0.001,1.1877468697977284e-14,1.3155453261390707e-15,6.752391779985648e-15,2.7369110631344083e-48,2.7369110631344083e-48,4.0182241520740684e-17,1.1659495795872463,3610.668899999999
8,0.01999999999999999,0.003,1.0524819515153197e-14,4.5574167910405616e-15,1.900954004535939e-14,-5.473822126268817e-48,5.473822126268817e-48,1.5927479129677358e-15,1.1639933357781465,3610.6688999999983
8,0.03,0.0,1.1154681681145773e-14,1.0440774216968766e-14,2.0552463692853463e-14,-8.210733189403225e-48,8.210733189403225e-48,4.641725798949557e-16,1.1582051897745722,3610.668899999998
8,0.03,0.0001,1.0506861245074014e-14,5.3129739243088775e-15,4.989930885705402e-15,0.0,0.0,6.456877449125356e-16,1.1582960341138724,3610.6688999999988
8,0.03,0.0003,9.409584120234338e-15,1.1469993355850324e-14,1.934435648180278e-14,-5.815936009160618e-48,5.815936009160618e-48,1.0954027140846761e-15,1.1583013863548137,3610.668899999998
8,0.03,0.001,1.961041507827293e-14,1.6396593720999647e-15,1.0713373759988905e-14,1.0947644252537633e-47,1.0947644252537633e-47,1.0156667649864882e-15,1.15933250453865,3610.6688999999988
8,0.03,0.003,1.6618800913887645e-14,6.974423204281633e-15,1.5967638754692083e-14,1.0605530369645832e-47,1.0605530369645832e-47,7.867526616105258e-16,1.1575530722323228,3610.6688999999983
8,0.04000000000000001,0.0,1.2082063545440786e-14,1.7440750368712776e-14,2.0015736247566637e-14,-5.473822126268817e-48,5.473822126268817e-48,5.666058441042638e-16,1.1494404356128516,3610.6688999999974
8,0.04000000000000001,0.0001,1.9988409160601788e-14,5.007857459516255e-15,6.968995264003347e-15,-2.1895288505075267e-47,2.1895288505075267e-47,4.969747818841127e-16,1.1494903371970429,3610.668899999998
8,0.04000000000000001,0.0003,7.542642996838311e-15,1.2966136476229816e-14,1.0927872707046778e-14,0.0,0.0,9.944359459702334e-16,1.1493839000251183,3610.6688999999983
8,0.04000000000000001,0.001,6.5520253175981695e-15,9.44345773069705e-15,1.2814193762830398e-14,7.526505423619623e-48,7.526505423619623e-48,5.238393336917451e-16,1.1499661059591317,3610.6688999999988
8,0.04000000000000001,0.003,1.7236046094105284e-14,9.856921188040876e-15,9.103492745668803e-15,-4.1053665947016125e-48,4.1053665947016125e-48,1.0127677454962768e-15,1.1476792823763597,3610.6688999999983
8,0.04999999999999999,0.0,2.5840441258634545e-14,1.5300782826511696e-14,1.2044317990363097e-14,1.3684555315672042e-48,1.3684555315672042e-48,4.787423272627581e-16,1.1399147994901175,3610.668899999997
