beta_u,beta_d,tw12,tw23,eps_cp,q_cp,theta12,theta23,theta13,J,Hu,Hd,cp_total,LOSS
4.75,4.2,0.422,0.062,0.006,3.0,12.974516088969166,2.2967780585455,0.20376285793155646,1.1663962752482201e-05,8.251595156157334,7.29614729625002,0.01225,0.17954735032666133
4.75,4.2,0.422,0.062,0.007,0.5,13.000744298343761,2.5585656044972764,0.21743190375416516,6.6555508720601494e-06,8.251595156157334,7.296147295624678,0.030954509956601275,0.46133061619597027
4.75,4.2,0.422,0.062,0.007,0.75,12.989788341528202,2.47697907750553,0.21464283990555497,7.438386287726435e-06,8.251595156157334,7.296147296245215,0.02732888354787296,0.3789151490807813
4.75,4.2,0.422,0.062,0.007,1.0,12.98319619190624,2.4227634269187934,0.2125378278274104,8.126154897606687e-06,8.251595156157334,7.296147295681116,0.024499999999999997,0.3269453640471339
4.75,4.2,0.422,0.062,0.007,1.25,12.979182677006742,2.3860002853525306,0.21089734157297912,8.714559189369666e-06,8.251595156157334,7.296147295766933,0.022251746646233785,0.29206836520296964
4.75,4.2,0.422,0.062,0.007,1.5,12.976732036781259,2.3605679753133355,0.20958621318083143,9.214208566916786e-06,8.251595156157334,7.296147295779141,0.020433711832321722,0.26727773513694864
4.75,4.2,0.422,0.062,0.007,1.75,12.975250834104356,2.342643082979448,0.20851646101842708,9.638975132671406e-06,8.251595156157334,7.296147295940204,0.018939867696344686,0.24878262843424
4.75,4.2,0.422,0.062,0.007,2.0,12.974383326609667,2.3297976402561855,0.20762839629527396,1.00019241814687e-05,8.251595156157334,7.296147295668476,0.017694444444444443,0.23443472438371576
4.75,4.2,0.422,0.062,0.007,2.25,12.97391094616231,2.3204599675402826,0.20688020555225597,1.0314155087208683e-05,8.251595156157334,7.296147295857614,0.016642510781361648,0.2229535433001633
4.75,4.2,0.422,0.062,0.007,2.5,12.97369626405371,2.313591884143615,0.2062418221540938,1.058471320238008e-05,8.251595156157334,7.296147296027068,0.01574364729041355,0.21353760774534414
4.75,4.2,0.422,0.062,0.007,2.75,12.973651010937246,2.3084935783041414,0.20569113846005202,1.082084928488887e-05,8.251595156157334,7.296147296016435,0.014967662632014829,0.20566226033503815
4.75,4.2,0.422,0.062,0.007,3.0,12.973717395489404,2.3046839822198244,0.20521157544300483,1.102835004556258e-05,8.251595156157334,7.2961472959066915,0.014291666666666668,0.1989700948386448
4.75,4.2,0.422,0.062,0.008,0.5,13.017906883188678,2.674756060487673,0.2210240617886184,5.875423935872918e-06,8.251595156157334,7.296147295998915,0.03537658280754431,0.589150388661641
4.75,4.2,0.422,0.062,0.008,0.75,13.001702133194005,2.5653625055257745,0.21765133107029472,6.600467211189277e-06,8.251595156157334,7.296147295910483,0.031233009768997663,0.4684707524714801
4.75,4.2,0.422,0.062,0.008,1.0,12.991604102352934,2.4910860817780214,0.21515050002440889,7.284681232633651e-06,8.251595156157334,7.29614729570783,0.028,0.392751764660811
4.75,4.2,0.422,0.062,0.008,1.25,12.985175160718326,2.4396420556360634,0.21322460466280213,7.893086462150943e-06,8.251595156157334,7.2961472960082645,0.02543056759569575,0.34296669222355514
4.75,4.2,0.422,0.062,0.008,1.5,12.981012530242168,2.4032846305874025,0.21169773243450044,8.42208521482056e-06,8.251595156157334,7.29614729602868,0.023352813522653396,0.30851081836607397
4.75,4.2,0.422,0.062,0.008,1.75,12.978286539996596,2.3770858400599573,0.21045885718349874,8.878920006914325e-06,8.251595156157334,7.296147295754407,0.021645563081536784,0.2834948263970245
4.75,4.2,0.422,0.062,0.008,2.0,12.976493141218373,2.3578655186033917,0.20943440106810396,9.273600100381894e-06,8.251595156157334,7.296147295950884,0.020222222222222225,0.2645645600320531
4.75,4.2,0.422,0.062,0.008,2.25,12.97531810156784,2.343535498234002,0.20857371396260105,9.615884053060068e-06,8.251595156157334,7.296147295729475,0.01902001232155617,0.24973723869994346
4.75,4.2,0.422,0.062,0.008,2.5,12.974560673568229,2.3326985154213427,0.20784084554895882,9.91430621173411e-06,8.251595156157334,7.296147296056496,0.01799273976047263,0.2377918401448493
4.75,4.2,0.422,0.062,0.008,2.75,12.974089649239298,2.3244014088397207,0.20720961831106094,1.0176005304958925e-05,8.251595156157334,7.296147295895237,0.01710590015087409,0.22794543924399233
4.75,4.2,0.422,0.062,0.008,3.0,12.973817454064864,2.317981534764838,0.20666054571782838,1.0406842154083579e-05,8.251595156157334,7.296147295882981,0.016333333333333335,0.21967660457800262
4.75,4.2,0.422,0.062,0.009000000000000001,0.5,13.039225886169396,2.807115616869979,0.2248971241518304,5.318436847770555e-06,8.251595156157334,7.296147296228564,0.03979865565848736,0.7475070822241449
4.75,4.2,0.422,0.062,0.009000000000000001,0.75,13.01687092027988,2.6680301141644995,0.2208230744320619,5.9122510544605935e-06,8.251595156157334,7.296147296408452,0.03513713599012237,0.5814338170875603
4.75,4.2,0.422,0.062,0.009000000000000001,1.0,13.002635935471519,2.571946761575992,0.21786246786794156,6.5483750732221475e-06,8.251595156157334,7.296147295830267,0.0315,0.47542872561792604
4.75,4.2,0.422,0.062,0.009000000000000001,1.25,12.993336431037227,2.504295240763954,0.2156146139444736,7.148460042954042e-06,8.251595156157334,7.296147295987853,0.028609388545157724,0.40585570668475346
4.75,4.2,0.422,0.062,0.009000000000000001,1.5,12.987124384693379,2.455715642435115,0.21385013367281636,7.688023911529493e-06,8.251595156157334,7.296147295805586,0.026271915212985074,0.3583372267327699
4.75,4.2,0.422,0.062,0.009000000000000001,1.75,12.982897110984643,2.4201544062209486,0.21242851302085472,8.163998384755778e-06,8.251595156157334,7.2961472956740865,0.024351258466728885,0.3244755042558039
4.75,4.2,0.422,0.062,0.009000000000000001,2.0,12.979978432060701,2.3936485005404307,0.2112588705265188,8.581218425940222e-06,8.251595156157334,7.296147295779689,0.022750000000000003,0.2993649578661346
4.75,4.2,0.422,0.062,0.009000000000000001,2.25,12.977942633045709,2.3735627032849074,0.21027983058484745,8.946834103559786e-06,8.251595156157334,7.296147296057629,0.02139751386175069,0.28007833873036364
4.75,4.2,0.422,0.062,0.009000000000000001,2.5,12.976514887384397,2.3581138289785386,0.20944847209351963,9.268082485646995e-06,8.251595156157334,7.2961472956940545,0.02024183223053171,0.26481474960774243
4.75,4.2,0.422,0.062,0.009000000000000001,2.75,12.97551355940231,2.3460730783471306,0.20873389892211064,9.551486470403027e-06,8.251595156157334,7.296147295917034,0.019244137669733354,0.252428340889554
4.75,4.2,0.422,0.062,0.009000000000000001,3.0,12.974815964735557,2.336578195574747,0.2081133170033383,9.802648529073053e-06,8.251595156157334,7.2961472962952705,0.018375000000000002,0.24216510443857417
4.75,4.2,0.422,0.062,0.010000000000000002,0.5,13.064676521973448,2.953460412603673,0.22913358370452228,5.017860004305572e-06,8.251595156157334,7.296147295944329,0.044220728509430395,0.9333690497378229
4.75,4.2,0.422,0.062,0.010000000000000002,0.75,13.035280498476707,2.783394823348352,0.22421033038681754,5.396560835498282e-06,8.251595156157334,7.296147296360627,0.03904126221124709,0.7183196011104985
4.75,4.2,0.422,0.062,0.010000000000000002,1.0,13.016283093818066,2.664199506290246,0.22070833027131379,5.933635285208403e-06,8.251595156157334,7.296147296114019,0.035,0.5770552809430237
4.75,4.2,0.422,0.062,0.010000000000000002,1.25,13.003661034400933,2.5791286929986943,0.21809125820752392,6.492937033995404e-06,8.251595156157334,7.296147296210462,0.0317882094946197,0.4830644546475158
4.75,4.2,0.422,0.062,0.010000000000000002,1.5,12.995064000982945,2.51725178171294,0.21606054610603406,7.021497166490118e-06,8.251595156157334,7.296147295678198,0.029191016903316748,0.41885592139532707
4.75,4.2,0.422,0.062,0.010000000000000002,1.75,12.989080091702972,2.471396160074958,0.21443812484627855,7.5017404500274994e-06,8.251595156157334,7.296147295899681,0.027056953851920987,0.37348158165137385
4.75,4.2,0.422,0.062,0.010000000000000002,2.0,12.984837477441568,2.4368054363539096,0.21311149014182518,7.930910274285378e-06,8.251595156157334,7.29614729586252,0.025277777777777784,0.3402672306080856
4.75,4.2,0.422,0.062,0.010000000000000002,2.25,12.981783305627639,2.410280769800391,0.21200613066410495,8.312100002114565e-06,8.251595156157334,7.296147295866878,0.023775015401945217,0.31513370357451687
4.75,4.2,0.422,0.062,0.010000000000000002,2.5,12.979558003452869,2.3896357315316505,0.21107075628724015,8.650350191925608e-06,8.251595156157334,7.296147296103668,0.02249092470059079,0.29554208066344106
4.75,4.2,0.422,0.062,0.010000000000000002,2.75,12.977922072689665,2.373350039020075,0.2102689116060002,8.95099111620232e-06,8.251595156157334,7.29614729599939,0.02138237518859262,0.27987150138353867
4.75,4.2,0.422,0.062,0.010000000000000002,3.0,12.976712426114164,2.3603481709691057,0.20957397287768387,9.218985866256326e-06,8.251595156157334,7.2961472961177245,0.02041666666666667,0.26705783643904657
