# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  118       4.413329880142e-10       1.350939599695e-13      -4.644664999469e-12       5.763567369301e-16       6.547782237364e-12       9.830386884092e-13      -5.921887723154e-15 
  119       4.459052576954e-10       1.364309118655e-13      -4.723320904128e-12       5.864902986453e-16       6.399558528979e-12       9.658431039491e-13      -5.854162618624e-15 
  120       4.504905254563e-10       1.377162094132e-13      -4.800714419076e-12       5.967297692683e-16       6.255783291621e-12       9.491118455307e-13      -5.787095280042e-15 
  121       4.550874809477e-10       1.389484012143e-13      -4.876770571797e-12       6.070760950237e-16       6.116137056781e-12       9.328111437769e-13      -5.720808499562e-15 
  122       4.596946892435e-10       1.401260627489e-13      -4.951414199254e-12       6.175302459107e-16       5.980256115859e-12       9.169023114558e-13      -5.655424308891e-15 
  123       4.643107571842e-10       1.412478452299e-13      -5.024570792514e-12       6.280931739718e-16       5.847811018807e-12       9.013503034849e-13      -5.591039332230e-15 
  124       4.689348612076e-10       1.423126259437e-13      -5.096169079506e-12       6.387656820523e-16       5.718754653445e-12       8.861507778529e-13      -5.527647869300e-15 
  125       4.735662740994e-10       1.433193775400e-13      -5.166138794335e-12       6.495485404429e-16       5.593100699901e-12       8.713059213905e-13      -5.465209731028e-15 
  126       4.782041987097e-10       1.442671235013e-13      -5.234409922564e-12       6.604425275128e-16       5.470846088733e-12       8.568159860595e-13      -5.403673688915e-15 
  127       4.828477659248e-10       1.451549397268e-13      -5.300912736275e-12       6.714484296708e-16       5.351970513647e-12       8.426792317480e-13      -5.342977173846e-15 
  128       4.874960326385e-10       1.459819561164e-13      -5.365577829129e-12       6.825670413256e-16       5.236435944219e-12       8.288918690647e-13      -5.283045974891e-15 
  129       4.921479797237e-10       1.467473581547e-13      -5.428336151426e-12       6.937991648474e-16       5.124186138615e-12       8.154480021338e-13      -5.223793938110e-15 
  130       4.968025100038e-10       1.474503884950e-13      -5.489119045164e-12       7.051456105281e-16       5.015146156311e-12       8.023395713902e-13      -5.165122665356e-15 
  131       5.014584462241e-10       1.480903485428e-13      -5.547858279101e-12       7.166071965425e-16       4.909221870815e-12       7.895562963737e-13      -5.106921213081e-15 
  132       5.061145290235e-10       1.486666000402e-13      -5.604486083814e-12       7.281847489090e-16       4.806299482385e-12       7.770856185243e-13      -5.049065791138e-15 
  133       5.107694149057e-10       1.491785666496e-13      -5.658935186758e-12       7.398791014505e-16       4.706245030752e-12       7.649126439769e-13      -4.991419461587e-15 
  134       5.154216742106e-10       1.496257355377e-13      -5.711138847330e-12       7.516910957553e-16       4.608903907838e-12       7.530200863558e-13      -4.933831837497e-15 
  135       5.200697890862e-10       1.500076589593e-13      -5.761030891922e-12       7.636215811378e-16       4.514100370479e-12       7.413882095698e-13      -4.876138781752e-15 
  136       5.247121514597e-10       1.503239558414e-13      -5.808545748989e-12       7.756714145995e-16       4.421637053145e-12       7.299947706068e-13      -4.818162105854e-15 
  137       5.293472051572e-10       1.505743407984e-13      -5.853619157075e-12       7.878414356559e-16       4.331336853328e-12       7.188198235209e-13      -4.759747143639e-15 
  138       5.339738931541e-10       1.507587112138e-13      -5.896190297382e-12       8.001323879593e-16       4.243174510916e-12       7.078608135328e-13      -4.700880498154e-15 
  139       5.385912529752e-10       1.508770722147e-13      -5.936199949381e-12       8.125449894539e-16       4.157157784030e-12       6.971189436624e-13      -4.641583964771e-15 
  140       5.431982755959e-10       1.509295117910e-13      -5.973589876609e-12       8.250799565847e-16       4.073286081733e-12       6.865944275759e-13      -4.581877689297e-15 
  141       5.477939043283e-10       1.509162025529e-13      -6.008302865998e-12       8.377380040991e-16       3.991550245695e-12       6.762864632363e-13      -4.521780107179e-15 
  142       5.523770337079e-10       1.508374034896e-13      -6.040282767209e-12       8.505198448480e-16       3.911932331865e-12       6.661932065521e-13      -4.461307882705e-15 
  143       5.569465083801e-10       1.506934617266e-13      -6.069474531964e-12       8.634261895874e-16       3.834405392134e-12       6.563117450281e-13      -4.400475848208e-15 
  144       5.615011219861e-10       1.504848142844e-13      -6.095824253373e-12       8.764577467797e-16       3.758933256008e-12       6.466380714142e-13      -4.339296943270e-15 
  145       5.660396160499e-10       1.502119898361e-13      -6.119279205272e-12       8.896152223946e-16       3.685470312272e-12       6.371670573557e-13      -4.277782153926e-15 
  146       5.705606788643e-10       1.498756104658e-13      -6.139787881548e-12       9.028993197111e-16       3.613961290661e-12       6.278924270426e-13      -4.215940451865e-15 
  147       5.750629443774e-10       1.494763934263e-13      -6.157300035476e-12       9.163107391180e-16       3.544341043526e-12       6.188067308599e-13      -4.153778733637e-15 
  148       5.795449910791e-10       1.490151528972e-13      -6.171766719047e-12       9.298501779161e-16       3.476534327500e-12       6.099013190366e-13      -4.091301759851e-15 
  149       5.840053408874e-10       1.484928017431e-13      -6.183140322303e-12       9.435183301187e-16       3.410455585171e-12       6.011663152959e-13      -4.028512094385e-15 
  150       5.884424580349e-10       1.479103532717e-13      -6.191374612663e-12       9.573158862537e-16       3.346008726746e-12       5.925905905048e-13      -3.965410043585e-15 
  151       5.928547479549e-10       1.472689229914e-13      -6.196424774261e-12       9.712435331640e-16       3.283086911720e-12       5.841617363237e-13      -3.901993595470e-15 
  152       5.972405561682e-10       1.465697303698e-13      -6.198247447271e-12       9.853019538099e-16       3.221572330543e-12       5.758660388563e-13      -3.838258358933e-15 
  153       6.015982883257e-10       1.458140848144e-13      -6.196800990694e-12       9.994917707977e-16       3.161360564728e-12       5.676916320839e-13      -3.774208097266e-15 
  154       6.059267852331e-10       1.450033384487e-13      -6.192046215399e-12       1.013813371482e-15       3.102436674114e-12       5.596383433958e-13      -3.709887558224e-15 
  155       6.102249807189e-10       1.441389322787e-13      -6.183945794511e-12       1.028267066153e-15       3.044805797578e-12       5.517087170937e-13      -3.645352593377e-15 
  156       6.144917831184e-10       1.432224132393e-13      -6.172464086223e-12       1.042853142371e-15       2.988469117751e-12       5.439049067731e-13      -3.580659831231e-15 
  157       6.187260747766e-10       1.422554358723e-13      -6.157567174259e-12       1.057571864476e-15       2.933423767867e-12       5.362286651678e-13      -3.515866670389e-15 
  158       6.229267115523e-10       1.412397640035e-13      -6.139222908349e-12       1.072423473104e-15       2.879662738604e-12       5.286813339936e-13      -3.451031272710e-15 
  159       6.270925223211e-10       1.401772724210e-13      -6.117400944693e-12       1.087408184703e-15       2.827174784933e-12       5.212638337927e-13      -3.386212556467e-15 
  160       6.312223084789e-10       1.390699485524e-13      -6.092072786435e-12       1.102526191047e-15       2.775944332959e-12       5.139766537780e-13      -3.321470189508e-15 
  161       6.353148434455e-10       1.379198941428e-13      -6.063211824133e-12       1.117777658751e-15       2.725951386765e-12       5.068198416772e-13      -3.256864582416e-15 
  162       6.393688721680e-10       1.367293269323e-13      -6.030793376222e-12       1.133162728785e-15       2.677171435261e-12       4.997929935769e-13      -3.192456881669e-15 
  163       6.433831106241e-10       1.355005823339e-13      -5.994794729492e-12       1.148681515988e-15       2.629575359025e-12       4.928952437669e-13      -3.128308962798e-15 
  164       6.473562453257e-10       1.342361151108e-13      -5.955195179551e-12       1.164334108586e-15       2.583129337146e-12       4.861252545844e-13      -3.064483423548e-15 
  165       6.512869328224e-10       1.329385010546e-13      -5.911976071301e-12       1.180120567703e-15       2.537794754073e-12       4.794812062580e-13      -3.001043577038e-15 
  166       6.551737992045e-10       1.316104386625e-13      -5.865120839398e-12       1.196040926877e-15       2.493528106459e-12       4.729607867523e-13      -2.938053444919e-15 
  167       6.590154396071e-10       1.302547508154e-13      -5.814615048733e-12       1.212095191576e-15       2.450280910001e-12       4.665611816116e-13      -2.875577750535e-15 
  168       6.628104177132e-10       1.288743864552e-13      -5.760446434892e-12       1.228283338713e-15       2.407999606289e-12       4.602790638043e-13      -2.813681912084e-15 
  169       6.665572652569e-10       1.274724222628e-13      -5.702604944630e-12       1.244605316156e-15       2.366625469648e-12       4.541105835672e-13      -2.752432035773e-15 
