# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  103       3.748663098669e-10       1.098999814336e-13      -3.363596753642e-12       4.292318057634e-16       9.211917278536e-12       1.206135346525e-12      -6.955441944415e-15 
  104       3.791434040563e-10       1.118192523376e-13      -3.452356336295e-12       4.377314418619e-16       8.979959102870e-12       1.182134409780e-12      -6.883208743371e-15 
  105       3.834460465311e-10       1.137121902346e-13      -3.540953633845e-12       4.463233612922e-16       8.755862661543e-12       1.158848227076e-12      -6.812758816830e-15 
  106       3.877734619913e-10       1.155768934931e-13      -3.629317008639e-12       4.550082402967e-16       8.539285942402e-12       1.136251962748e-12      -6.743714048105e-15 
  107       3.921247114078e-10       1.174114506984e-13      -3.717373917204e-12       4.637867805664e-16       8.329807182768e-12       1.114313390345e-12      -6.675649023989e-15 
  108       3.964986864085e-10       1.192139413956e-13      -3.805050931712e-12       4.726597096891e-16       8.126922453343e-12       1.092992661677e-12      -6.608089716645e-15 
  109       4.008941036636e-10       1.209824368340e-13      -3.892273761437e-12       4.816277815981e-16       7.930043242117e-12       1.072242075850e-12      -6.540512165506e-15 
  110       4.053097284789e-10       1.227150480556e-13      -3.978968004275e-12       4.906917607384e-16       7.738629082403e-12       1.052017593836e-12      -6.472464292516e-15 
  111       4.097450901422e-10       1.244100755628e-13      -4.065061464559e-12       4.998523712998e-16       7.552609911900e-12       1.032315552530e-12      -6.403951894390e-15 
  112       4.141998480445e-10       1.260658802858e-13      -4.150482173416e-12       5.091103422962e-16       7.372013496343e-12       1.013140238932e-12      -6.335099812055e-15 
  113       4.186735673336e-10       1.276808391444e-13      -4.235157713538e-12       5.184664235522e-16       7.196834140836e-12       9.944924504309e-13      -6.266033106414e-15 
  114       4.231657155518e-10       1.292533462571e-13      -4.319015247818e-12       5.279213859919e-16       7.027031600975e-12       9.763693792808e-13      -6.196876950394e-15 
  115       4.276756592745e-10       1.307818141500e-13      -4.401981547983e-12       5.374760219271e-16       6.862529993970e-12       9.587644970778e-13      -6.127756520998e-15 
  116       4.322026607484e-10       1.322646749656e-13      -4.483983023235e-12       5.471311453466e-16       6.703216709772e-12       9.416674392349e-13      -6.058796891352e-15 
  117       4.367458745301e-10       1.337003816717e-13      -4.564945748886e-12       5.568875922039e-16       6.548941322192e-12       9.250638894579e-13      -5.990122922754e-15 
  118       4.413043441238e-10       1.350874092708e-13      -4.644795494992e-12       5.667462207065e-16       6.399514500027e-12       9.089354642209e-13      -5.921859156728e-15 
  119       4.458769986203e-10       1.364242560084e-13      -4.723457754992e-12       5.767079116039e-16       6.254706918184e-12       8.932595972423e-13      -5.854129707065e-15 
  120       4.504626493345e-10       1.377094445823e-13      -4.800857774344e-12       5.867735684767e-16       6.114248168798e-12       8.780094239599e-13      -5.787058151878e-15 
  121       4.550599864446e-10       1.389415233517e-13      -4.876920579160e-12       5.969441180246e-16       5.977825672364e-12       8.631536660075e-13      -5.720767425653e-15 
  122       4.596675756296e-10       1.401190675456e-13      -4.951571004843e-12       6.072205103557e-16       5.845083588852e-12       8.486565156894e-13      -5.655379711291e-15 
  123       4.642840242826e-10       1.412407281199e-13      -5.024734540548e-12       6.176036773380e-16       5.715699594945e-12       8.344855286620e-13      -5.590991763412e-15 
  124       4.689085089318e-10       1.423053821057e-13      -5.096339911399e-12       6.280944016248e-16       5.589627522420e-12       8.206365747400e-13      -5.527597898212e-15 
  125       4.735403023569e-10       1.433120018918e-13      -5.166316848274e-12       6.386934330567e-16       5.466880672239e-12       8.071115491179e-13      -5.465157911891e-15 
  126       4.781786074356e-10       1.442596106918e-13      -5.234595333240e-12       6.494015292093e-16       5.347455973805e-12       7.939105689272e-13      -5.403620558841e-15 
  127       4.828225551154e-10       1.451472841283e-13      -5.301105634614e-12       6.602194553517e-16       5.231333508718e-12       7.810319207188e-13      -5.342923250383e-15 
  128       4.874712023866e-10       1.459741518158e-13      -5.365778342014e-12       6.711479844054e-16       5.118476034533e-12       7.684720079461e-13      -5.282991753522e-15 
  129       4.921235302545e-10       1.467393989457e-13      -5.428544401416e-12       6.821878969028e-16       5.008828508526e-12       7.562252984479e-13      -5.223739889689e-15 
  130       4.967784417119e-10       1.474422678690e-13      -5.489335150208e-12       6.933399809456e-16       4.902317611449e-12       7.442842719309e-13      -5.165069233489e-15 
  131       5.014347597119e-10       1.480820596811e-13      -5.548082352248e-12       7.046050321638e-16       4.798851271290e-12       7.326393674525e-13      -5.106868811447e-15 
  132       5.060912251397e-10       1.486581358050e-13      -5.604718232915e-12       7.159838536742e-16       4.698318187035e-12       7.212789309040e-13      -5.049014800757e-15 
  133       5.107464947859e-10       1.491699195751e-13      -5.659175514168e-12       7.274772560387e-16       4.600587352429e-12       7.101891624928e-13      -4.991370228026e-15 
  134       5.153991393182e-10       1.496168978215e-13      -5.711387449596e-12       7.390860572235e-16       4.505507579730e-12       6.993540642258e-13      -4.933784668022e-15 
  135       5.200476412545e-10       1.499986224535e-13      -5.761287859479e-12       7.508110825573e-16       4.412907023476e-12       6.887553873917e-13      -4.876093942421e-15 
  136       5.246903929351e-10       1.503147120433e-13      -5.808811165840e-12       7.626531646900e-16       4.322592704241e-12       6.783725800441e-13      -4.818119818553e-15 
  137       5.293258385526e-10       1.505648808537e-13      -5.853893100700e-12       7.746131198374e-16       4.234391455748e-12       6.681872089226e-13      -4.759707586126e-15 
  138       5.339529211221e-10       1.507490259568e-13      -5.896472839358e-12       7.866916738273e-16       4.148278556455e-12       6.581968528127e-13      -4.700843813610e-15 
  139       5.385706781340e-10       1.508671521754e-13      -5.936491155354e-12       7.988895282866e-16       4.064261567656e-12       6.484025539775e-13      -4.641550262725e-15 
  140       5.431781005441e-10       1.509193471894e-13      -5.973889806040e-12       8.112073834785e-16       3.982339893102e-12       6.388044488225e-13      -4.581847043533e-15 
  141       5.477741316601e-10       1.509057832945e-13      -6.008611571909e-12       8.236459381110e-16       3.902504565685e-12       6.294017437789e-13      -4.521752553607e-15 
