# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  141       5.475828785054e-10       1.502688626058e-13      -6.022979810073e-12       0.000000000000e+00       3.991550245695e-12       6.762864632363e-13      -4.521780107179e-15 
  142       5.521749872032e-10       1.501756863564e-13      -6.055378886886e-12       0.000000000000e+00       3.911932331865e-12       6.661932065521e-13      -4.461307882705e-15 
  143       5.567537654362e-10       1.500168521999e-13      -6.084991660671e-12       0.000000000000e+00       3.834405392134e-12       6.563117450281e-13      -4.400475848208e-15 
  144       5.613180055130e-10       1.497927814648e-13      -6.111763871463e-12       0.000000000000e+00       3.758933256008e-12       6.466380714142e-13      -4.339296943270e-15 
  145       5.658664473397e-10       1.495039868780e-13      -6.135642426691e-12       0.000000000000e+00       3.685470312272e-12       6.371670573557e-13      -4.277782153926e-15 
  146       5.703977773020e-10       1.491510743210e-13      -6.156575440332e-12       0.000000000000e+00       3.613961290661e-12       6.278924270426e-13      -4.215940451865e-15 
  147       5.749106271459e-10       1.487347445869e-13      -6.174512272074e-12       0.000000000000e+00       3.544341043526e-12       6.188067308599e-13      -4.153778733637e-15 
  148       5.794035728597e-10       1.482557951370e-13      -6.189403566467e-12       0.000000000000e+00       3.476534327500e-12       6.099013190366e-13      -4.091301759851e-15 
  149       5.838751335552e-10       1.477151218577e-13      -6.201201292086e-12       0.000000000000e+00       3.410455585171e-12       6.011663152959e-13      -4.028512094385e-15 
  150       5.883237703488e-10       1.471137208167e-13      -6.209858780686e-12       0.000000000000e+00       3.346008726746e-12       5.925905905048e-13      -3.965410043585e-15 
  151       5.927478852437e-10       1.464526900202e-13      -6.215330766360e-12       0.000000000000e+00       3.283086911720e-12       5.841617363237e-13      -3.901993595470e-15 
  152       5.971458200103e-10       1.457332311695e-13      -6.217573424700e-12       0.000000000000e+00       3.221572330543e-12       5.758660388563e-13      -3.838258358933e-15 
  153       6.015159768125e-10       1.449566366101e-13      -6.216544647157e-12       0.000000000000e+00       3.161360564728e-12       5.676916320839e-13      -3.774208097266e-15 
  154       6.058571950527e-10       1.441242451177e-13      -6.212204810431e-12       0.000000000000e+00       3.102436674114e-12       5.596383433958e-13      -3.709887558224e-15 
  155       6.101684075795e-10       1.432374853335e-13      -6.204516153580e-12       0.000000000000e+00       3.044805797578e-12       5.517087170937e-13      -3.645352593377e-15 
  156       6.144485215974e-10       1.422978918694e-13      -6.193442589257e-12       0.000000000000e+00       2.988469117751e-12       5.439049067731e-13      -3.580659831231e-15 
  157       6.186964181679e-10       1.413071069895e-13      -6.178949744067e-12       0.000000000000e+00       2.933423767867e-12       5.362286651678e-13      -3.515866670389e-15 
  158       6.229109517108e-10       1.402668822912e-13      -6.161004998919e-12       0.000000000000e+00       2.879662738604e-12       5.286813339936e-13      -3.451031272710e-15 
  159       6.270909495063e-10       1.391790803866e-13      -6.139577529388e-12       0.000000000000e+00       2.827174784933e-12       5.212638337927e-13      -3.386212556467e-15 
  160       6.312352111958e-10       1.380456765838e-13      -6.114638346065e-12       0.000000000000e+00       2.775944332959e-12       5.139766537780e-13      -3.321470189508e-15 
  161       6.353425082837e-10       1.368687605680e-13      -6.086160334913e-12       0.000000000000e+00       2.725951386765e-12       5.068198416772e-13      -3.256864582416e-15 
  162       6.394115836385e-10       1.356505380832e-13      -6.054118297627e-12       0.000000000000e+00       2.677171435261e-12       4.997929935769e-13      -3.192456881669e-15 
  163       6.434411509948e-10       1.343933326130e-13      -6.018488991984e-12       0.000000000000e+00       2.629575359025e-12       4.928952437669e-13      -3.128308962798e-15 
  164       6.474298944543e-10       1.330995870622e-13      -5.979251172203e-12       0.000000000000e+00       2.583129337146e-12       4.861252545844e-13      -3.064483423548e-15 
  165       6.513764679872e-10       1.317718654381e-13      -5.936385629299e-12       0.000000000000e+00       2.537794754073e-12       4.794812062580e-13      -3.001043577038e-15 
  166       6.552794949341e-10       1.304128545317e-13      -5.889875231438e-12       0.000000000000e+00       2.493528106459e-12       4.729607867523e-13      -2.938053444919e-15 
  167       6.591375675070e-10       1.290253655988e-13      -5.839704964294e-12       0.000000000000e+00       2.450280910001e-12       4.665611816116e-13      -2.875577750535e-15 
  168       6.629492462911e-10       1.276123360417e-13      -5.785861971402e-12       0.000000000000e+00       2.407999606289e-12       4.602790638043e-13      -2.813681912084e-15 
  169       6.667130597458e-10       1.261768310902e-13      -5.728335594517e-12       0.000000000000e+00       2.366625469648e-12       4.541105835672e-13      -2.752432035773e-15 
  170       6.704275037067e-10       1.247220454831e-13      -5.667117413968e-12       0.000000000000e+00       2.326094513987e-12       4.480513582497e-13      -2.691894908985e-15 
